comsol_index,theory_index,pml_fraction,comsol_real_Hz,theory_real_Hz,real_error_Hz,comsol_imag_Hz,theory_imag_Hz,imag_error_Hz,comsol_Q,theory_Q,comsol_Forward,theory_Forward,Forward_error,comsol_Backward,theory_Backward,Backward_error,pair_cost,pair_ambiguity,pair_quality
1,9,0.104458044257901,1256.43837528062,1232.13955452167,-24.2988207589499,123.027638348519,26.9783109337336,-96.0493274147854,5.10632566855146,22.8357430816954,0.46032963649263,0.50578048431177,0.0454508478191401,0.54377373525578,0.508807869439908,-0.034965865815872,2.29466234832134,1.47804832302378,low
2,10,0.0953808976958482,1308.98491253689,1312.28606636424,3.30115382734994,134.12501806633,41.0692323925558,-93.0557856737742,4.8797194267275,15.9765107589655,0.471295086806733,5.65024675981349e-05,-0.471238584339135,0.535817603769146,5.53158692401015e-05,-0.535762287899906,0.957854790187875,0.00323051291516119,ambiguous
3,11,0.0929930919829458,1310.22044607279,1317.58881124045,7.36836516765993,131.524851013598,33.6926370992896,-97.8322139143084,4.98088549797076,19.5530674455315,0.457226515774251,0.494872142410406,0.037645626636155,0.52889036221816,0.502430290442217,-0.026460071775943,0.852263713398386,0.0108380581173209,ambiguous
4,12,0.0801959949403215,1319.37427972494,1353.82382200009,34.4495422751502,117.864168048509,103.5550622561,-14.309105792409,5.59701180422339,6.53673414174563,0.463753163028643,0.745358639950802,0.281605476922159,0.518363877856156,0.785915859239751,0.267551981383595,3.16500313046623,0.879479401838738,low
5,14,0.02663992725398,1331.93625294502,1358.24738773052,26.3111347854999,94.6806025386571,60.0931495731522,-34.5874529655049,7.03383912455146,11.3011832245296,2.20556748340982e-07,2.58035994188041e-05,2.55830426704631e-05,2.64323439412716e-08,1.47084250416429e-06,1.44441016022302e-06,2.26148047132329,0.0865922332952842,ambiguous
6,16,0.0357670754065612,1403.14659536679,1367.04640779796,-36.1001875688301,130.385501787558,107.853588323469,-22.531913464089,5.38076157291239,6.33751008681317,1.1371172758508e-08,0.778875394784763,0.77887538341359,6.56627279402441e-09,0.815744406885286,0.815744400319013,3.83443624369915,0.504162057724753,low
7,17,0.0587444175770813,1425.23785969866,1386.86833296419,-38.3695267344701,113.080690056145,46.4085663554996,-66.6721237006454,6.3018622321416,14.9419432862942,0.491708534337651,0.526360716632636,0.034652182294985,0.533256402674332,0.10326886301086,-0.429987539663472,3.56467607214185,0.504162057724753,low
8,18,0.00186408986642442,1479.18182971742,1393.99220560374,-85.1896241136799,4.27605472084719,51.6480416569263,47.3719869360791,172.961050113077,13.4951119237335,0.989618692273398,0.888652572013619,-0.100966120259779,0.993294108429061,0.591996516483719,-0.401297591945342,7.72106810839192,1.44987957835198,low
9,19,0.0514139765189747,1504.90641280208,1398.4643510565,-106.44206174558,114.668690543904,42.5931664737642,-72.0755240701398,6.56197609680513,16.4165342334656,0.400153299953008,0.533965796807685,0.133812496854677,0.406374477280652,0.625428165465344,0.219053688184692,9.19658309221581,0.166915150215315,low
10,20,0.0536086180716204,1505.81253190047,1502.87176861015,-2.94076329032009,119.410874468494,4.47545735077861,-114.935417117715,6.30517337136564,167.901473616846,0.40014080671742,0.838614202605988,0.438473395888568,0.430007597796744,0.843422569691659,0.413414971894915,1.16223570498044,0.317934999946988,moderate
11,21,0.054784701748745,1510.22146268127,1512.6041993709,2.38273668963006,122.685649533979,42.6776050267306,-80.0080445072484,6.15484153369949,17.721287293693,0.508179613247785,0.543525855910832,0.035346242663047,0.516653097750277,0.531628521267108,0.014975423516831,0.383651637150127,1.05275679674697,high
12,22,0.0261423927475097,1548.16512362716,1522.26510597985,-25.9000176473101,103.698075787909,43.8937948321865,-59.8042809557225,7.46477266749669,17.3403223826936,1.07113590607575e-08,1.48132396357618e-05,1.4802528276701e-05,2.35452185057748e-08,3.18067399595775e-05,3.17831947410717e-05,2.28853947321022,0.232555894419946,low
