theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,source_shift_index,Forward,Backward
1,1154.30622761642,20.5036073297937,28.1488571510806,0.505599291341923,1.59950506353202e-06,0.494399109153013,0.502422122768297,5.94006251146031e-06,0.497571937169191,1,0.505599291341923,0.502422122768297
2,1182.35258815873,0.580159390808461,1018.98944229025,0.000374915431771906,0.998243201227011,0.00138188334121726,0.000209274067199635,0.99977189372595,1.88322068508303e-05,1,0.000374915431771906,0.000209274067199635
3,1185.53567994523,34.7438048219673,17.0611089663337,0.591516261653541,6.76795528111023e-06,0.408476970391178,0.521472014925197,8.66843684470802e-07,0.478527118231118,1,0.591516261653541,0.521472014925197
4,1185.9708321357,28.7109501311151,20.6536326161219,0.476817226965016,4.98953858630031e-06,0.523177783496398,0.470425075360437,4.52805408535807e-06,0.529570396585478,1,0.476817226965016,0.470425075360437
5,1196.68676480933,64.2510818089422,9.31258066881906,0.836682149290736,5.07445310211727e-07,0.163317343263954,0.89366638485791,6.8350421518955e-07,0.106332931637875,1,0.836682149290736,0.89366638485791
6,1202.46329427708,69.06333035715,8.705511941422,0.888106731346504,6.69336458710158e-07,0.111892599317037,0.910391637595039,9.67085175487262e-07,0.0896073953197857,1,0.888106731346504,0.910391637595039
7,1213.78456085531,57.5428183048142,10.5467945141797,0.563545286261556,7.47558618742792e-06,0.436447238152257,0.646703054685597,1.15761086668685e-06,0.353295787703537,1,0.563545286261556,0.646703054685597
8,1214.65375851051,66.1705165975789,9.17820972970126,0.683876186099134,3.26481289402047e-06,0.316120549087972,0.906584240304731,9.34921192552323e-06,0.0934064104833433,1,0.683876186099134,0.906584240304731
9,1232.13955452167,26.9783109337336,22.8357430816954,0.50578048431177,4.45081009240573e-07,0.494219070607221,0.508807869439908,1.30422450200811e-07,0.491192000137641,1,0.50578048431177,0.508807869439908
10,1312.28606636424,41.0692323925558,15.9765107589655,5.65024675981349e-05,0.999910524508895,3.29730235065451e-05,5.53158692401015e-05,0.999888855808616,5.58283221440086e-05,1,5.65024675981349e-05,5.53158692401015e-05
11,1317.58881124045,33.6926370992896,19.5530674455315,0.494872142410406,0.000213926403958124,0.504913931185636,0.502430290442217,0.000149647447417633,0.497420062110366,1,0.494872142410406,0.502430290442217
12,1353.82382200009,103.5550622561,6.53673414174563,0.745358639950802,8.82746061090481e-06,0.254632532588587,0.785915859239751,3.90150112933228e-07,0.214083750610136,1,0.745358639950802,0.785915859239751
13,1357.1131937784,109.797623840482,6.18006631796541,0.913408839544823,3.99958916398553e-06,0.086587160866013,0.990630501146463,8.18970717529474e-06,0.00936130914636189,1,0.913408839544823,0.990630501146463
14,1358.24738773052,60.0931495731522,11.3011832245296,2.58035994188041e-05,0.999970737731391,3.4586691900167e-06,1.47084250416429e-06,0.9999961306721,2.39848539591648e-06,1,2.58035994188041e-05,1.47084250416429e-06
15,1364.93917941525,111.978565754121,6.0946448555715,0.977610879671299,1.02488853640719e-06,0.0223880954401651,0.896565786360477,1.36124910088524e-05,0.103420601148514,1,0.977610879671299,0.896565786360477
16,1367.04640779796,107.853588323469,6.33751008681317,0.778875394784763,2.04404776977167e-06,0.221122561167468,0.815744406885286,8.29885807018475e-06,0.184247294256644,1,0.778875394784763,0.815744406885286
17,1386.86833296419,46.4085663554996,14.9419432862942,0.526360716632636,2.56470534094956e-06,0.473636718662023,0.10326886301086,0.00048738724580471,0.896243749743336,1,0.526360716632636,0.10326886301086
18,1393.99220560374,51.6480416569263,13.4951119237335,0.888652572013619,4.39748427993504e-06,0.111343030502101,0.591996516483719,1.11242015808449e-06,0.408002371096123,1,0.888652572013619,0.591996516483719
19,1398.4643510565,42.5931664737642,16.4165342334656,0.533965796807685,3.97106331901316e-07,0.466033806085983,0.625428165465344,2.65057938046069e-05,0.374545328740851,1,0.533965796807685,0.625428165465344
20,1502.87176861015,4.47545735077861,167.901473616846,0.838614202605988,8.35639530915805e-05,0.161302233440921,0.843422569691659,0.000103945862808248,0.156473484445532,1,0.838614202605988,0.843422569691659
21,1512.6041993709,42.6776050267306,17.721287293693,0.543525855910832,7.38904249739149e-05,0.456400253664194,0.531628521267108,5.42004289116932e-05,0.46831727830398,1,0.543525855910832,0.531628521267108
22,1522.26510597985,43.8937948321865,17.3403223826936,1.48132396357618e-05,0.999958730876452,2.6455883911954e-05,3.18067399595775e-05,0.999943729777056,2.44634829846939e-05,1,1.48132396357618e-05,3.18067399595775e-05
23,1560.74991421024,163.03213866756,4.78663264484547,0.482489853797667,8.90559527490058e-06,0.517501240607058,0.754498249425355,3.66016937017445e-06,0.245498090405274,1,0.482489853797667,0.754498249425355
24,1560.91962656059,170.258019378544,4.58398268774087,0.827032989623207,5.36532734131917e-06,0.172961645049452,0.833617220041499,1.47097421373108e-06,0.166381308984287,1,0.827032989623207,0.833617220041499
25,1576.30468484795,169.746455640546,4.6431151652024,0.836755477576425,8.05581072456424e-07,0.163243716842503,0.803190755811678,4.19017438965483e-06,0.196805054013933,1,0.836755477576425,0.803190755811678
26,1577.64757268307,165.594489550414,4.76358717299819,0.528945045390506,2.54191653239378e-07,0.471054700417841,0.76374207057686,5.53077719564799e-06,0.236252398645944,1,0.528945045390506,0.76374207057686
27,1604.06194658941,58.2061201555277,13.7791519371445,0.499207444009143,4.76712203794995e-06,0.500787788868819,0.459549581073372,2.67838949699328e-06,0.540447740537131,1,0.499207444009143,0.459549581073372
28,1607.46308957612,58.7395515775524,13.6829703871149,0.472385964616874,1.02206134498038e-05,0.527603814769676,0.648206648691913,1.25048774899925e-05,0.351780846430596,1,0.472385964616874,0.648206648691913
29,1617.64478201838,67.2364755665046,12.0295179691442,0.451421361422823,2.98199265375961e-06,0.548575656584523,0.557355535351061,4.12026079752985e-06,0.442640344388141,1,0.451421361422823,0.557355535351061
30,1642.56929522053,46.3902785883062,17.7038093454625,1.23137369785737e-05,0.999978538046298,9.14821672296211e-06,1.17138663513388e-05,0.999981311677852,6.97445579692466e-06,1,1.23137369785737e-05,1.17138663513388e-05
31,1646.9388819356,5.43312365148299,151.564641961173,0.0447606323700754,0.0380225275431816,0.917216840086743,0.526859307558098,0.0554879758371859,0.417652716604716,1,0.0447606323700754,0.526859307558098
32,1648.8377501172,5.38764862346479,153.020163836968,0.0825535968054906,0.17101857874912,0.74642782444539,0.435557413569004,0.247549565645126,0.31689302078587,1,0.0825535968054906,0.435557413569004
33,1653.04876441812,6.68527302270134,123.63360170967,0.224878300716918,0.258449269493964,0.516672429789118,0.616513506163382,0.110330376357493,0.273156117479125,1,0.224878300716918,0.616513506163382
34,1653.57176211671,7.12583780552771,116.026480481635,0.349867928553846,0.267522461435623,0.382609610010531,0.285798863919334,0.188454892169667,0.525746243910999,1,0.349867928553846,0.285798863919334
35,1672.76296548525,1.24769204512015,670.342883096676,6.7752201598908e-06,0.999908358472286,8.48663075547016e-05,0.000288832502779204,0.999697779270832,1.33882263892175e-05,1,6.7752201598908e-06,0.000288832502779204
36,1674.98588406305,0.346698809370191,2415.62105030849,0.00261531071691471,0.987524105554368,0.0098605837287179,0.0142326466477537,0.984033118849872,0.00173423450237442,1,0.00261531071691471,0.0142326466477537
37,1676.0496792182,0.107822424224279,7772.26857620954,0.358322499711935,0.0141364780560488,0.627541022232016,0.553138973595082,0.0142843457096099,0.432576680695308,1,0.358322499711935,0.553138973595082
38,1676.090310707,0.965258870784362,868.207670210282,0.208439705618539,0.00240081102898021,0.78915948335248,0.780766594528533,0.00320625198562372,0.216027153485843,1,0.208439705618539,0.780766594528533
39,1682.77411391903,8.59502266452638,97.8923604741741,0.42636383338695,0.186538394301565,0.387097772311485,0.594504087049452,0.0211149253145914,0.384380987635957,1,0.42636383338695,0.594504087049452
40,1682.83091172206,8.44505745536234,99.6340712077402,0.0129019952189453,0.357535487894897,0.629562516886158,0.633892069949576,0.295396173660718,0.0707117563897066,1,0.0129019952189453,0.633892069949576
