pml_imaginary_scale,candidate_count,both_within_10pct,max_real_relative_error,median_real_relative_error,max_imag_relative_error,median_imag_relative_error,rms_real_relative_error,rms_imag_relative_error
0.7,105,22,0.0996893598280616,0.0427700741145762,2.134168371358,0.198560123577398,0.0538099862246962,0.556028724172703
0.85,108,23,0.0997874486888998,0.0576233760995483,1.52039382807195,0.310295447466585,0.0583324019049524,0.466455341010648
1,107,21,0.0978417865679039,0.0544761680478603,0.972023108136452,0.199183847245563,0.0581529422891948,0.447254059168286
1.15,107,21,0.0997973469215702,0.0474613344820542,0.983971979677744,0.19726392655199,0.0523753146933796,0.471900856251937
1.3,107,14,0.0994049992398519,0.040890572848677,0.988225978281551,0.26058052866018,0.0522776145050931,0.471560714507435
1.5,107,23,0.0999769734250607,0.0460913996487297,0.984900925019595,0.141879367494878,0.0560769417722506,0.460685939545958
