freq_Hz,Ez1,Ez0,Ez_1,Ef1,Ef0,Ef_1,Forward,Backward,F1,B1
2582.5,5.72523375441745e-05,0.000433025125797965,5.54580323450189e-05,0.000129305323447771,2.9370421886039e-05,0.000139712703676466,0.10490858299786,0.433345606630096,0.572523375441745,1.29305323447771
2583.5,5.60576177262893e-05,0.000429032685604985,5.4549569507403e-05,0.00013138193712678,2.87597150909623e-05,0.000141959376435464,0.103879680779347,0.434894040952103,0.560576177262893,1.3138193712678
2584.5,5.48516021497352e-05,0.000425086391333766,5.36395650311169e-05,0.000133516567143602,2.81578315464425e-05,0.000144273173732587,0.1027996797737,0.436403420646086,0.548516021497352,1.33516567143602
2585.5,5.36343465133996e-05,0.000421184803866112,5.27285537918135e-05,0.000135711398513023,2.75645687248562e-05,0.000146656906400127,0.101667292055889,0.437873520546679,0.536343465133996,1.35711398513023
2586.5,5.24059337085794e-05,0.000417326522582935,5.18171224782968e-05,0.00013796871871387,2.69797312529903e-05,0.000149113539104701,0.100481211838365,0.439304097645618,0.524059337085794,1.3796871871387
2587.5,5.11664769369361e-05,0.000413510183601882,5.09059139421921e-05,0.000140290923304437,2.64031306721336e-05,0.000151646200807624,0.0992401207283637,0.44069488918246,0.511664769369361,1.40290923304437
2588.5,4.99161231656902e-05,0.000409734458089697,4.99956319224917e-05,0.000142680521876842,2.5834585211744e-05,0.000154258196079979,0.097942694118024,0.44204561057619,0.499161231656902,1.42680521876842
2589.5,4.86550569588881e-05,0.000405998050645002,4.90870461790052e-05,0.000145140144370964,2.52739195761066e-05,0.000156953017354127,0.0965876088961884,0.443355953182801,0.486550569588881,1.45140144370964
2590.5,4.73835047284713e-05,0.00040229969774748,4.81809980719519e-05,0.000147672547769625,2.47209647434265e-05,0.000159734358202482,0.0951735527003656,0.444625581862433,0.473835047284713,1.47672547769625
2591.5,4.61017394544765e-05,0.000398638166269581,4.7278406628445e-05,0.000150280623197631,2.4175557776874e-05,0.000162606127744371,0.0936992349614973,0.445854132337802,0.461017394544765,1.50280623197631
2592.5,4.48100859300347e-05,0.000395012252047181,4.63802751404553e-05,0.000152967403448271,2.3637541647107e-05,0.000165572466293247,0.092163400033372,0.44704120832377,0.448100859300347,1.52967403448271
2593.5,4.35089265941349e-05,0.000391420778505762,4.54876983430376e-05,0.000155736070961684,2.31067650658581e-05,0.000168637762369267,0.0905648427436769,0.44818637840562,0.435089265941349,1.55736070961684
2594.5,4.21987080234503e-05,0.000387862595338912,4.4601870226199e-05,0.000158589966280271,2.25830823301995e-05,0.000171806671216656,0.0889024267554157,0.449289172641253,0.421987080234503,1.58589966280271
