solution,z_m060_m050,z_m050_m036,z_m036_m008,z_m008_p008,z_p008_p036,z_p036_p050,z_p050_p060
4,0.438697700825833,0.269379253709588,0.136868654900843,0.00927952666815502,0.0274021559924008,0.0468549414183566,0.0715177664848242
5,0.23742178087063,0.152611219338007,0.0790919271942403,0.0239887975109528,0.0854411477955064,0.164899983101357,0.256545144189307
6,0.043240779497502,0.0336938574174583,0.0263689152930285,0.0476494239917023,0.194313045499833,0.284871928805391,0.369862049495085
7,0.201494066127771,0.168487422945267,0.138108256163192,0.0344902363529138,0.12548310202842,0.151778492409686,0.180158423972749
8,0.226086308662656,0.16280546529295,0.102106418291686,0.0237861006075633,0.100716592165722,0.160957967314207,0.223541147665216
9,0.18779700591795,0.154302793683159,0.129210463242162,0.0354427120169084,0.127048846281802,0.163635877070445,0.202562301787573
