theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,source_shift_index
1,904.984253870725,770.081108289811,0.587590218828056,0,1,0,0,1,0,1
2,905.049207813885,770.122495323025,0.587600812409891,0,1,0,0,1,0,1
3,919.131911330897,152.512515945915,3.01329994338578,0,1,0,0,1,0,1
4,971.52915509991,-0.00121257503071908,400605.789533607,0,1,0,0,1,0,1
5,1006.55847781205,4.25971115137606,118.14867746219,0.998560045651645,2.10377564277953e-06,0.00143785057271245,0.788123759147585,9.5260664060967e-06,0.211866714786008,1
6,1006.67130093689,877.065615385992,0.573885968892906,3.14854766586582e-08,0.999999967499173,1.01535043613273e-09,9.3794448680075e-09,0.999999988603713,2.01684275837532e-09,1
7,1006.72917457687,877.11982251578,0.573883492730415,3.21434575046343e-08,0.99999996683568,1.02086285372669e-09,9.58633709848868e-09,0.999999988377936,2.03572725303993e-09,1
8,1007.57047646183,3.20888646183764,156.996903512257,0.93496732349226,1.50429991440313e-06,0.0650311722078256,0.97344467012212,2.53459598108547e-06,0.0265527952818991,1
9,1007.77354574225,2.85812921528699,176.299507445653,0.699844751910054,1.3116200489427e-06,0.300153936469897,0.893152066962583,1.43647908167515e-06,0.106846496558336,1
10,1007.94431192203,3.91949351501462,128.580938845904,0.954139490011887,4.94160681367375e-06,0.0458555683812996,0.991698471738988,6.18514656530277e-07,0.00830090974635559,1
11,1012.0668679517,15.1372044798669,33.4297812154743,0.907269827487803,8.71697763385945e-07,0.0927293008144338,0.809295551210548,1.33536616993347e-06,0.190703113423282,1
12,1012.90320546347,10.8990420927045,46.4675334239455,0.787328461735342,5.38044780169513e-08,0.21267148446018,0.743871819701671,1.08115504068462e-06,0.256127099143288,1
13,1013.17052865393,14.1207807023282,35.8751598092192,0.939418188967614,2.2256022933644e-06,0.0605795854300926,0.819164060150703,2.25044579993286e-08,0.18083591734484,1
14,1014.5535774447,11.2376875984837,45.1406736730068,0.739266267104999,4.6657061578375e-07,0.260733266324386,0.675046016643867,2.01726198680346e-06,0.324951966094146,1
15,1026.39476521102,26.6412378696849,19.2632709154058,0.537091371612563,1.70795544385004e-06,0.462906920431993,0.626387591017827,5.2086950069357e-07,0.373611888112672,1
16,1026.72652285046,35.2764210625714,14.5525891221974,0.69681951886768,1.61977139260902e-07,0.303180319155181,0.562662752415583,9.57542791728046e-07,0.437336290041626,1
17,1026.85276799606,31.8546405938451,16.1177892585368,0.703506852909479,1.12200160626371e-06,0.296492025088915,0.509648666301824,1.37061361446741e-06,0.490349963084561,1
18,1027.36205936273,23.6611813739715,21.7098639988636,0.401318830642321,6.1339880935344e-08,0.598681108017798,0.542575805839502,1.71373462445985e-06,0.457422480425873,1
19,1036.5085100771,51.3703777265259,10.0885817464203,0.705316807975331,1.43540266397029e-06,0.294681756622005,0.924093511545014,3.03222797098611e-05,0.0758761661752759,1
20,1036.99273102086,46.1702771434256,11.2300899537542,0.405381232041613,1.20007374802455e-08,0.59461875595765,0.698239659448186,3.00123464102215e-06,0.301757339317173,1
21,1037.52430454609,43.4976832404166,11.926201894611,0.0636477194654215,3.85858616443054e-06,0.936348421948414,0.594540078523507,4.11943960163019e-07,0.405459509532533,1
22,1048.58122706966,51.5024578494059,10.179914424043,0.521056270414989,5.19596165822258e-06,0.478938533623353,0.685217932805881,1.33040240778259e-06,0.314780736791711,1
23,1050.46855846198,94.3732208603016,5.56550125600229,0.841386590728234,3.42178938731395e-06,0.158609987482379,0.932292379209011,0.00206988063759894,0.0656377401533904,1
24,1052.54700639708,87.310862994624,6.02758334012735,0.878277154261557,0.000128133947172072,0.12159471179127,0.857228522006926,1.37587065242657e-06,0.142770102122422,1
25,1052.91550347916,84.3320487300542,6.24267712770464,0.503440311856957,0.000266254553759247,0.496293433589284,0.868521548014628,1.12568177659171e-06,0.131477326303595,1
26,1054.08657634944,89.5105783859796,5.88805588879172,0.715302679707795,9.96620097423906e-07,0.284696323672108,0.623720361732429,7.39457485079741e-05,0.376205692519062,1
27,1076.51749256656,154.445457093131,3.4851057222014,0.86892317440838,4.35864987397414e-05,0.13103323909288,0.336907663136708,0.619208051371901,0.0438842854913904,1
28,1076.92821189691,147.212797755892,3.6577261906355,0.913954346235195,0.0631880284497787,0.0228576253150259,0.59031251933749,3.45633079281935e-06,0.409684024331717,1
29,1078.90955708982,144.022176464842,3.74563689972147,0.167762968186772,0.0805817567520293,0.751655275061198,0.459773322669836,1.28345202625326e-05,0.540213842809901,1
30,1080.94095481006,151.480500054971,3.56792113314188,0.811876323522286,7.8919641264907e-06,0.188115784513587,0.472089393845052,0.0458624896628681,0.48204811649208,1
31,1090.56984683396,202.822040111778,2.6884894911641,1.61598180761066e-06,0.999998221177525,1.62840667287665e-07,2.17447415562008e-07,0.999999542656502,2.39896082831882e-07,1
32,1110.92807553408,986.00732733988,0.563346764638771,4.07692754886864e-07,0.999999588275533,4.0317118662118e-09,1.28066323017123e-07,0.999999852158321,1.97753558505474e-08,1
33,1110.97650804374,986.072372032869,0.56333416266058,4.09740977850798e-07,0.999999586398255,3.86076680052032e-09,1.28998782695428e-07,0.99999985156564,1.94355774291196e-08,1
