comsol_index,frequency_real_Hz,frequency_imag_Hz,pml_pressure_norm,total_pressure_norm,pml_fraction
1,1256.43837528062,123.027638348519,0.00455964371122387,0.0436504794208702,0.104458044257901
2,1308.98491253689,134.12501806633,0.00416944978670533,0.0437136773445027,0.0953808976958482
3,1310.22044607279,131.524851013598,0.00405048456562818,0.0435568328706718,0.0929930919829458
4,1319.37427972494,117.864168048509,0.00349057645936487,0.0435255708463049,0.0801959949403215
5,1331.93625294502,94.6806025386571,0.00118219319914779,0.0443767427694896,0.02663992725398
6,1403.14659536679,130.385501787558,0.00169609092149913,0.0474204530904417,0.0357670754065612
7,1425.23785969866,113.080690056145,0.00250661851993312,0.0426699016403399,0.0587444175770813
8,1479.18182971742,4.27605472084719,7.0454981214717e-05,0.0377959145016217,0.00186408986642442
9,1504.90641280208,114.668690543904,0.00222113832118779,0.043201060714844,0.0514139765189747
10,1505.81253190047,119.410874468494,0.00229703085292076,0.042848163887604,0.0536086180716204
11,1510.22146268127,122.685649533979,0.00236418487160814,0.0431541068243983,0.054784701748745
12,1548.16512362716,103.698075787909,0.00122722583843019,0.0469438987579704,0.0261423927475097
13,1618.27619685483,103.977750787484,0.00162815225873546,0.0413229845388874,0.0394006453527883
14,1662.80230949227,0.990594723316899,4.20458612126973e-05,0.0222391074733743,0.00189062718740114
15,1665.99268954057,0.497018554751826,3.85709285080374e-05,0.021498614118036,0.00179411232260217
16,1667.07548297936,0.1114468280868,8.0036713525439e-07,0.0211512575311891,3.7840167851684e-05
17,1667.45530344692,0.987196591211235,7.16955516402905e-06,0.0214015271607891,0.000335002035610094
18,1668.65277324633,0.719680522993558,0.0684510470528238,0.0825250075713394,0.829458234143763
19,1668.65393137292,0.721486343704357,0.066651765608924,0.0808537991726363,0.824349211675402
20,1668.65507230657,0.675065919695458,0.0658303973309499,0.0814128470955649,0.808599621306404
21,1668.65815444543,0.646456493279185,0.0609192585245917,0.0777965772435245,0.783058338593712
22,1671.34564679514,6.36537299629035,0.0225490414202572,0.0531778886513156,0.424030400456663
23,1671.36918332475,6.33107358450178,0.0218427209198154,0.0524219213040121,0.416671506432247
24,1671.39594749049,6.00115811217681,0.0197620417185936,0.0512420812847883,0.385660402994992
25,1671.5419820552,5.65021207085068,0.0163598932841602,0.0481785738635611,0.339567819721904
26,1676.08603444147,106.595246990881,0.00123270565408296,0.0483255745377103,0.0255083496859625
27,1676.74702818993,17.5806267662835,0.017038911824469,0.049968873805242,0.340990511230644
28,1676.75248464041,17.4202542571584,0.0167525669504756,0.0497543953216497,0.33670526678446
29,1676.90307243655,16.5364163651731,0.0156613516343156,0.0488889589506844,0.320345369802488
30,1677.40415179825,15.1413596102825,0.0135588657513047,0.0471980258634914,0.287276120203001
31,1684.95264395127,33.8578670597659,0.0179598118548095,0.050553014319917,0.355266883615555
32,1685.0395971757,34.1910416743284,0.0180785908163079,0.0505919869379124,0.357340992329365
33,1685.29740685347,32.1072319117138,0.016882588416328,0.0495586911925161,0.340658480078616
34,1686.4792544583,28.880735164896,0.014174564340715,0.0476138605216247,0.297698279144523
35,1695.52952330473,55.4622803876531,0.0186586385918776,0.0506723216967153,0.368221505688126
36,1695.81530588029,55.8700757023366,0.0186730124099748,0.0506318105518524,0.36880001339971
37,1696.12174008008,52.8142788433386,0.0172693024851687,0.0494043711288888,0.349550092240131
38,1699.69740668137,47.7943517545619,0.0135216726352609,0.0468694824742864,0.288496307649209
39,1707.66761270323,86.6986560640645,0.0202272949369072,0.0512791951785989,0.394454220009851
40,1707.89981054491,86.90044002729,0.0202407166580916,0.0512565707108148,0.394890184368517
41,1710.29665486246,85.4805887833037,0.0185575342947623,0.0498171025866257,0.372513320350036
42,1711.03147142273,87.8991981642239,0.0187813654353704,0.0499247582208707,0.376193417948671
43,1716.05725249063,99.3040501772569,0.00139217570817512,0.0413571540072674,0.0336622705694516
44,1716.41298504369,138.044219314656,0.0268386550498969,0.054885348367668,0.488994892955933
45,1716.49636552996,137.86484656837,0.0269482070722841,0.0552465556893079,0.48778076272906
46,1716.51804272291,138.071556306308,0.0267833619672792,0.0548428647668999,0.488365479832559
47,1716.5181898607,137.866723096732,0.0269547309389987,0.0552647185240278,0.487738500419204
48,1716.65273987886,52.9466512837993,0.00942353675418165,0.0440895182294065,0.213736441962217
49,1718.68612145878,104.953585217051,0.00149446109739779,0.0420022586057621,0.0355804936926124
50,1721.13143167498,201.154312450052,0.0367810989721446,0.0610459959169601,0.602514520725936
51,1721.13345717564,201.150742205875,0.0367851465322331,0.0610552183795861,0.60248980363212
52,1721.14018032583,201.153616501744,0.0369313964450971,0.061301859833623,0.602451484267054
53,1721.14099798846,201.153820352366,0.0370864962385365,0.0615597123984074,0.602447522797328
54,1732.69628547312,79.0675566177807,0.0107929933861773,0.0447593306743384,0.241133931709241
55,1737.32374983202,110.316658266094,0.00155227597797985,0.042166131232939,0.0368133364999646
56,1744.173116348,88.3145501276916,0.0102561203859482,0.0447115624272718,0.229384074927617
57,1744.69521819032,88.6775638171568,0.0102459353525089,0.0446879363542094,0.22927743342849
58,1769.73636740708,71.8982827338847,0.00582245077423281,0.041584544240821,0.140014779061045
59,1808.1266262528,101.860974263249,0.00215182812620175,0.047366548314768,0.0454292787370122
60,1825.90867817339,80.8172185198473,0.00405992013128186,0.0402952700619985,0.100754260364436
