comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction
1,1238.54643052222,124.291942244826,4.98240838526192,0.500111776606337,0,0,0.500029524428458,0,0
2,1245.52334629692,124.189811117432,5.01459554165506,0.482664353106758,0,0,0.476914316654994,0,0
3,1258.2216515788,137.900502172875,4.56206334187773,0.0558901453562974,0,0,0.0181648189535195,0,0
4,1319.23669713957,122.076298404306,5.40332855101145,0.50199675372722,0,0,0.498019035017528,0,0
5,1319.30224742893,120.865759704305,5.45771710142132,0.501551605358403,0,0,0.497567564865362,0,0
6,1390.59973290855,129.83911551891,5.35508782292195,0.00278818673890247,0,0,0.00224381490224222,0,0
7,1408.28677957762,118.472807197118,5.9435021963921,0.500052004975995,0,0,0.499957531134704,0,0
8,1414.22200447406,116.628346339722,6.06294288163287,0.494866901549123,0,0,0.498833636067129,0,0
9,1504.03238823443,114.384484738564,6.57445977779255,0.491796830051861,0,0,0.508304199199251,0,0
10,1504.29622384695,114.567569368858,6.5651049076714,0.491174813265746,0,0,0.508299967954239,0,0
11,1527.12882519542,119.767052294723,6.37541292006362,0.0012744521524849,0,0,0.000697338239461649,0,0
12,1606.42688562248,109.615485539061,7.32755448613163,0.501167359714277,0,0,0.49868588893216,0,0
13,1609.9906562647,108.059878579247,7.44953019304009,0.501114873348252,0,0,0.497459774401618,0,0
14,1656.91598666034,0.237339268663547,3490.60649758971,0.498546077675748,0,0,0.498567235742133,0,0
15,1664.01070650559,112.035063765932,7.42629428043219,0.000204236060849065,0,0,0.00137342982769598,0,0
16,1668.82841165628,0.304283140041498,2742.22950937847,0.363620752815597,0,0,0.403124866988594,0,0
17,1668.89927281397,0.707542050419854,1179.36401930009,0.458834348476201,0,0,0.539991826746167,0,0
18,1668.90270021129,0.639926085910999,1303.98083228271,0.131609065542615,0,0,0.66634562478324,0,0
19,1668.90474515992,0.574902314886799,1451.46810331468,0.437014713720336,0,0,0.560600877247703,0,0
20,1670.87460416957,3.38506414492781,246.801025421218,0.371619577768793,0,0,0.39360371858613,0,0
21,1671.60381834227,5.75916009116796,145.12565998172,0.332092081912161,0,0,0.434100390247707,0,0
22,1671.86242971785,6.02140032532569,138.826713006116,0.495289350622062,0,0,0.507421587253735,0,0
23,1671.98267662229,4.97592214382137,168.007318874392,0.496077610417735,0,0,0.504083019893553,0,0
24,1675.23810675505,10.9691892954457,76.3610719823478,0.369646347172236,0,0,0.393870940675509,0,0
25,1677.03261536071,16.0114300750935,52.3698572674472,0.350762865370333,0,0,0.416684155519544,0,0
26,1677.36598726932,16.054265245309,52.2405093487366,0.502105103630919,0,0,0.505394136008429,0,0
27,1678.17821138788,10.9166123056374,76.8635069380112,0.501721170697508,0,0,0.500037335615616,0,0
28,1682.25871452866,23.2862730825622,36.1212528205815,0.36110583623907,0,0,0.40152197254157,0,0
29,1683.06984144478,21.7804140516054,38.6372324570368,0.510667686330698,0,0,0.496741711790385,0,0
30,1685.40740653037,31.2869217498303,26.9346952699096,0.343444714611617,0,0,0.418812449732269,0,0
31,1685.7160524647,31.1713961833854,27.0394698162927,0.544384060281465,0,0,0.455523453652826,0,0
32,1691.83914239458,39.4675740765084,21.4332801290868,0.508411247130111,0,0,0.51495779775133,0,0
33,1692.06346886954,40.4572114052492,20.9117659138761,0.341246654830312,0,0,0.420869568716575,0,0
34,1696.45800580698,51.4543029113562,16.4850936638825,0.313959233287566,0,0,0.44139983487661,0,0
35,1696.70350865519,51.1986627615044,16.5698029708201,0.632392580921276,0,0,0.369210644506662,0,0
36,1703.89519226423,60.2005535205046,14.1518233024541,0.429350690635854,0,0,0.607942812559827,0,0
37,1704.56224746437,60.5565024897377,14.0741470971943,0.327891211245517,0,0,0.450610819765959,0,0
38,1711.31713327279,89.4274304531031,9.56818911491718,0.333833566916819,0,0,0.663371702985367,0,0
39,1711.53061649496,89.3772021308519,9.57476054122395,0.408516486551421,0,0,0.484464305711967,0,0
40,1713.29469971443,84.6683287834887,10.1176834616378,0.395580395838704,0,0,0.512528266119164,0,0
41,1713.66802857564,85.1126780978615,10.0670550314801,0.182877763821823,0,0,0.760663928167397,0,0
42,1714.20191700681,105.242348814862,8.14406907632951,0.503624643832367,0,0,0.496323380992937,0,0
43,1715.30858420842,105.413784503935,8.13607343802554,0.503287500671275,0,0,0.496463531065704,0,0
44,1716.83335858729,138.038059874313,6.21869562695428,0.456580691975497,0,0,0.552862212407479,0,0
45,1716.86166439,138.021798574858,6.21953083540945,0.388742809330681,0,0,0.531163031767398,0,0
