comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,po9_real,po9_imag,po10_real,po10_imag,po11_real,po11_imag,po12_real,po12_imag,po13_real,po13_imag,po14_real,po14_imag,po15_real,po15_imag,po16_real,po16_imag
1,1256.43837528062,123.027638348519,5.10632566855146,2.23830789423411e-05,4.8878149515092e-14,2.62409442476136e-05,2.63914050982294e-05,8.85146324082932e-14,2.21423936842431e-05,0.46032963649263,1.00522635231171e-09,0.539670362502144,0.54377373525578,1.82377300906495e-09,0.456226262920447,-1.03260216680101,0.194581765103291,-2.12117962720171,0.630309054881155,1.03261736624795,-0.194670327579673,2.12116765361065,-0.630364890310829,1.30088483621658,-0.266355117472292,1.96514154757911,-0.603962427247993,-1.30080685384364,0.266450530373518,-1.96512278985592,0.604035594711954
2,1308.98491253689,134.12501806633,4.8797194267275,2.39980204899413e-05,4.47019512514279e-12,2.69212847499228e-05,2.70996006742951e-05,2.79114241237147e-12,2.34765636549896e-05,0.471295086806733,8.77897825126976e-08,0.528704825403484,0.535817603769146,5.51869105803425e-08,0.464182341043943,1.74605452939904,1.32109779875943,-0.796624023440053,-0.699510830746871,-1.74676418384038,-1.32079600593298,0.796044688832216,0.699707139716033,1.63588980320946,1.1979479927397,-1.00783776528725,-0.867194410429628,-1.63530137125393,-1.19813437118944,1.00828843099946,0.867045216422082
3,1310.22044607279,131.524851013598,4.98088549797076,2.30130857160126e-05,3.43031184890521e-12,2.73188249532834e-05,2.68505734641504e-05,6.73213340558776e-13,2.39171754422266e-05,0.457226515774251,6.81538127502275e-08,0.542773416071937,0.52889036221816,1.32606496473387e-08,0.47110962452119,2.21688438838686,0.351629923701836,-0.8621966243752,-0.249165025352158,-2.21730161482676,-0.351084732827895,0.861846041771662,0.249555373470764,-1.88234698494592,-0.299593293234396,1.46859197122354,0.324189536831954,1.88256370115488,0.299671332044164,-1.46827538641028,-0.324212292794895
4,1319.37427972494,117.864168048509,5.59701180422339,2.32747450395422e-05,9.69893481358484e-13,2.69130411477263e-05,2.5953031367811e-05,5.10525779609704e-13,2.41141747239969e-05,0.463753163028643,1.93252888062445e-08,0.536246817646068,0.518363877856156,1.01968097334575e-08,0.481636111947034,-0.014453053149619,-0.876614292559715,-0.275427411177142,-2.22178155842632,0.0141483322625753,0.876700466973782,0.275105091480566,2.22183719697024,-0.125891123404122,-1.46469422612832,-0.23431532239825,-1.88435970067074,0.126133705703444,1.46467982536733,0.23453766234269,1.8844114169283
5,1331.93625294502,94.6806025386571,7.03383912455146,1.59051156335577e-11,7.21134510400861e-05,1.74672921190527e-11,1.90634369935933e-12,7.21216246958189e-05,2.24751175474528e-12,2.20556748340982e-07,0.999999537223752,2.42219499742082e-07,2.64323439412716e-08,0.999999942404858,3.11627980481396e-08,-1.37196964938625,-0.172404062179531,-1.37408419755278,-0.170476759936404,-1.37464514316722,-0.170779988283358,-1.37203828644331,-0.171585598419015,1.37326899149648,0.17196869009712,1.37283909069194,0.17228208158432,1.373310936435,0.171742007746939,1.37340980683513,0.171051444371418
6,1403.14659536679,130.385501787558,5.38076157291239,1.11172967024047e-12,9.77673695845412e-05,6.95449261143031e-13,6.41735069983163e-13,9.77320138976672e-05,2.75329424753112e-13,1.1371172758508e-08,0.999999981515521,7.11330632340115e-09,6.56627279402441e-09,0.99999999061654,2.81718764598323e-09,0.177468121635089,1.60421144733753,0.178462949866281,1.6042596720969,0.178290875610132,1.60438761556923,0.178207275062519,1.60431358919219,0.178950528361268,1.60392812348841,0.17873058647698,1.60384703140218,0.178346194185941,1.6039842441143,0.17883559134848,1.60396749126404
7,1425.23785969866,113.080690056145,6.3018622321416,2.5811473261988e-05,2.80773581602184e-13,2.66819681192934e-05,2.79982374118248e-05,1.06072519993199e-13,2.45060311067474e-05,0.491708534337651,5.34873638900956e-09,0.508291460313613,0.533256402674332,2.02026469031529e-09,0.466743595305404,-1.01602133157392,0.410419325973961,-1.91790233921144,0.820067763257123,1.01586321498498,-0.410389459834163,1.91772937653521,-0.819998484780154,1.26234484566696,-0.463977087351621,1.76410499470173,-0.794678016657729,-1.26227883277558,0.463875559591839,-1.76412363026185,0.794572470966345
8,1479.18182971742,4.27605472084719,172.961050113077,3.47833350818311e-06,8.14033020669006e-12,3.64803080046229e-08,3.46428199920034e-06,4.49092103981812e-12,2.33834455024778e-08,0.989618692273398,2.31600072703384e-06,0.0103789917258748,0.993294108429061,1.28765655085272e-06,0.00670460391438823,0.181401657754648,0.338894498750074,-0.425038161268456,0.17652626387808,-0.182064677880424,-0.338224524750693,0.424397170731029,-0.175876814637106,0.451758555435614,-0.010413377171487,0.0200908596829814,-0.389872247686085,-0.451712918337687,0.00970948133164173,-0.0200847250068022,0.389199243077861
9,1504.90641280208,114.668690543904,6.56197609680513,2.34458036135514e-05,2.68863425254833e-13,3.5146249753791e-05,2.36353116273948e-05,3.24836256172345e-14,3.45260959795873e-05,0.400153299953008,4.5887353074222e-09,0.599846695458257,0.406374477280652,5.58508243448918e-10,0.59362552216084,-0.464507048844815,-0.565835800551706,-2.00214202872976,-1.16858349450634,0.464625774788006,0.565988289285507,2.00222715465717,1.16870075617876,-1.58793432770046,-0.799332196250398,-1.30447407803342,-1.00258360301973,1.5878625169137,0.799264507212223,1.30448039667029,1.00255370705581
10,1505.81253190047,119.410874468494,6.30517337136564,2.36612859844816e-05,3.56277987818777e-12,3.54711098163236e-05,2.50646735984496e-05,2.13571987644086e-13,3.32242348651157e-05,0.40014080671742,6.0250893191082e-08,0.599859133031687,0.430007597796744,3.66402446865257e-09,0.569992398539232,2.28065052848544,-0.479906484539093,-0.720984703422539,-0.109059127222282,-2.28027683505956,0.480503332769421,0.721323251239529,0.109466437879061,-1.63505133618589,0.151217060137627,1.73550393908193,-0.412283868125266,1.63496775860454,-0.151267098807434,-1.73554060964054,0.412057510569698
