theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction
1,995.893778649344,164.736057728553,3.02269519005471,1.16277604888187e-06,0,0,8.59023023210278e-08,0,0
2,1005.79376649759,0.0459821242686392,10936.791008409,0.501784094196804,0,0,0.49778008781532,0,0
3,1006.25909351159,0.778856541374038,645.984876583544,0.470139266573921,0,0,0.486520171732393,0,0
4,1006.28503226779,1.08914772634077,461.959846185709,0.585529317907972,0,0,0.330759355522059,0,0
5,1006.2854600324,1.05573803989819,476.579142743327,0.629935412607723,0,0,0.43917054597705,0,0
6,1008.13225194409,4.30083278100916,117.201981950521,0.500424335502203,0,0,0.499438602685735,0,0
7,1010.4901285369,7.07479131127164,71.4148364296612,0.472913485704615,0,0,0.491829443964301,0,0
8,1010.79544919873,9.75922874509481,51.7866460352606,0.506303946898963,0,0,0.479242593758903,0,0
9,1010.81851276376,9.45633612375581,53.4466256029342,0.512020906981621,0,0,0.494290248977487,0,0
10,1014.98366765965,16.8096073528491,30.1905822769745,0.499689722081401,0,0,0.500180350501144,0,0
11,1018.87913720601,19.9216940042734,25.5721008712273,0.475658623190428,0,0,0.491903064822274,0,0
12,1020.03663306087,26.0345693526171,19.5900423633919,0.501570552395266,0,0,0.499115092530974,0,0
13,1020.03957374781,26.8459801358728,18.9979946454774,0.499427993552051,0,0,0.491992868345852,0,0
14,1026.62243326507,37.2884632486096,13.7659525738615,0.50028497175958,0,0,0.499330979526805,0,0
15,1031.40871742524,39.5612242532819,13.0356016136138,0.48967243290466,0,0,0.494945339540406,0,0
16,1034.19556056885,50.2397463958961,10.2926033147067,0.501841963973923,0,0,0.499333570456056,0,0
17,1034.410364588,51.7113661672873,10.0017698356843,0.499836536431841,0,0,0.491709071549721,0,0
18,1043.72266663492,65.250424551186,7.99782280202765,0.500777717368777,0,0,0.498924443453356,0,0
19,1048.92402248365,66.2548875538234,7.9158237317325,0.496180778597584,0,0,0.4971791589069,0,0
20,1052.85799042772,82.1075565504654,6.41145611111083,0.505806601296,0,0,0.496596424619686,0,0
21,1053.38448303693,84.038138699352,6.26730017668189,0.503095301187524,0,0,0.489252947435066,0,0
22,1065.48137796889,96.6176539685961,5.51390628008419,0.497591418575237,0,0,0.503310991562918,0,0
23,1069.5752370047,94.4514732494166,5.66203575343017,0.494512556964007,0,0,0.50062124883131,0,0
24,1079.98495676393,141.612179780691,3.81317821121198,0.487201706095181,0,0,0.51323547760742,0,0
25,1080.48945953416,135.161682825722,3.99702577293059,0.496139328976286,0,0,0.50670320691459,0,0
26,1080.51426299909,140.807269248056,3.83685540089403,0.487684772498192,0,0,0.510734657356353,0,0
27,1082.7405947262,134.761747218807,4.01724011847442,0.492384051200949,0,0,0.502573068981822,0,0
28,1096.2390181547,216.116697939073,2.53622008065231,0.524139327861056,0,0,0.425203576382074,0,0
29,1096.29285124004,216.109742090161,2.53642626342745,0.591515841475778,0,0,0.479762627801015,0,0
30,1096.49314446992,216.229331094603,2.53548660331883,0.39109159648709,0,0,0.630195474916502,0,0
31,1096.50576652814,216.17060395703,2.5362046144491,0.390976200488802,0,0,0.607763577395641,0,0
32,1099.81480138652,119.663079618544,4.59546421875677,0.495800948241843,0,0,0.502291851780342,0,0
33,1107.71664461314,121.146330434587,4.57181261966185,0.496726179654475,0,0,0.50225350611822,0,0
34,1116.33439152306,310.111104281156,1.79989425743193,0.584714305076686,0,0,0.480665388934396,0,0
35,1116.33926192513,310.103015408802,1.79994905959473,0.520874933963259,0,0,0.418139487618175,0,0
36,1116.34609958733,310.10630016873,1.79994101857964,0.571428912451601,0,0,0.394263933495908,0,0
37,1116.34916707061,310.099003602664,1.79998831679739,0.641112136720391,0,0,0.453096930065234,0,0
38,1123.00970204847,153.305970494776,3.66264176934563,0.00194675460557592,0,0,0.000166342721582785,0,0
39,1139.34451426882,422.62478991291,1.34793857514085,0.500536087848065,0,0,0.481571723579417,0,0
40,1139.35200265877,422.62094935911,1.3479596839515,0.513053902319832,0,0,0.481348233680956,0,0
41,1139.35205118984,422.6222788782,1.34795550084831,0.501436034484393,0,0,0.482709580609701,0,0
42,1165.78536134058,123.833797927376,4.70705647752269,0.502254795273898,0,0,0.497778426310103,0,0
43,1167.43321918183,119.342367073413,4.89110970316053,0.500706268098619,0,0,0.497510583622908,0,0
44,1238.54643052222,124.291942244826,4.98240838526192,0.500111776606337,0,0,0.500029524428458,0,0
45,1245.52334629692,124.189811117432,5.01459554165506,0.482664353106758,0,0,0.476914316654994,0,0
46,1258.2216515788,137.900502172875,4.56206334187773,0.0558901453562974,0,0,0.0181648189535195,0,0
47,1319.23669713957,122.076298404306,5.40332855101145,0.50199675372722,0,0,0.498019035017528,0,0
48,1319.30224742893,120.865759704305,5.45771710142132,0.501551605358403,0,0,0.497567564865362,0,0
49,1390.59973290855,129.83911551891,5.35508782292195,0.00278818673890247,0,0,0.00224381490224222,0,0
50,1408.28677957762,118.472807197118,5.9435021963921,0.500052004975995,0,0,0.499957531134704,0,0
51,1414.22200447406,116.628346339722,6.06294288163287,0.494866901549123,0,0,0.498833636067129,0,0
52,1504.03238823443,114.384484738564,6.57445977779255,0.491796830051861,0,0,0.508304199199251,0,0
53,1504.29622384695,114.567569368858,6.5651049076714,0.491174813265746,0,0,0.508299967954239,0,0
54,1527.12882519542,119.767052294723,6.37541292006362,0.0012744521524849,0,0,0.000697338239461649,0,0
55,1606.42688562248,109.615485539061,7.32755448613163,0.501167359714277,0,0,0.49868588893216,0,0
56,1609.9906562647,108.059878579247,7.44953019304009,0.501114873348252,0,0,0.497459774401618,0,0
57,1656.91598666034,0.237339268663547,3490.60649758971,0.498546077675748,0,0,0.498567235742133,0,0
58,1664.01070650559,112.035063765932,7.42629428043219,0.000204236060849065,0,0,0.00137342982769598,0,0
59,1668.82841165628,0.304283140041498,2742.22950937847,0.363620752815597,0,0,0.403124866988594,0,0
60,1668.89927281397,0.707542050419854,1179.36401930009,0.458834348476201,0,0,0.539991826746167,0,0
61,1668.90270021129,0.639926085910999,1303.98083228271,0.131609065542615,0,0,0.66634562478324,0,0
62,1668.90474515992,0.574902314886799,1451.46810331468,0.437014713720336,0,0,0.560600877247703,0,0
63,1670.87460416957,3.38506414492781,246.801025421218,0.371619577768793,0,0,0.39360371858613,0,0
64,1671.60381834227,5.75916009116796,145.12565998172,0.332092081912161,0,0,0.434100390247707,0,0
65,1671.86242971785,6.02140032532569,138.826713006116,0.495289350622062,0,0,0.507421587253735,0,0
66,1671.98267662229,4.97592214382137,168.007318874392,0.496077610417735,0,0,0.504083019893553,0,0
67,1675.23810675505,10.9691892954457,76.3610719823478,0.369646347172236,0,0,0.393870940675509,0,0
68,1677.03261536071,16.0114300750935,52.3698572674472,0.350762865370333,0,0,0.416684155519544,0,0
69,1677.36598726932,16.054265245309,52.2405093487366,0.502105103630919,0,0,0.505394136008429,0,0
70,1678.17821138788,10.9166123056374,76.8635069380112,0.501721170697508,0,0,0.500037335615616,0,0
71,1682.25871452866,23.2862730825622,36.1212528205815,0.36110583623907,0,0,0.40152197254157,0,0
72,1683.06984144478,21.7804140516054,38.6372324570368,0.510667686330698,0,0,0.496741711790385,0,0
73,1685.40740653037,31.2869217498303,26.9346952699096,0.343444714611617,0,0,0.418812449732269,0,0
74,1685.7160524647,31.1713961833854,27.0394698162927,0.544384060281465,0,0,0.455523453652826,0,0
75,1691.83914239458,39.4675740765084,21.4332801290868,0.508411247130111,0,0,0.51495779775133,0,0
76,1692.06346886954,40.4572114052492,20.9117659138761,0.341246654830312,0,0,0.420869568716575,0,0
77,1696.45800580698,51.4543029113562,16.4850936638825,0.313959233287566,0,0,0.44139983487661,0,0
78,1696.70350865519,51.1986627615044,16.5698029708201,0.632392580921276,0,0,0.369210644506662,0,0
79,1703.89519226423,60.2005535205046,14.1518233024541,0.429350690635854,0,0,0.607942812559827,0,0
80,1704.56224746437,60.5565024897377,14.0741470971943,0.327891211245517,0,0,0.450610819765959,0,0
81,1711.31713327279,89.4274304531031,9.56818911491718,0.333833566916819,0,0,0.663371702985367,0,0
82,1711.53061649496,89.3772021308519,9.57476054122395,0.408516486551421,0,0,0.484464305711967,0,0
83,1713.29469971443,84.6683287834887,10.1176834616378,0.395580395838704,0,0,0.512528266119164,0,0
84,1713.66802857564,85.1126780978615,10.0670550314801,0.182877763821823,0,0,0.760663928167397,0,0
85,1714.20191700681,105.242348814862,8.14406907632951,0.503624643832367,0,0,0.496323380992937,0,0
86,1715.30858420842,105.413784503935,8.13607343802554,0.503287500671275,0,0,0.496463531065704,0,0
87,1716.83335858729,138.038059874313,6.21869562695428,0.456580691975497,0,0,0.552862212407479,0,0
88,1716.86166439,138.021798574858,6.21953083540945,0.388742809330681,0,0,0.531163031767398,0,0
89,1716.98650959117,138.121253794841,6.21550435728559,0.358246985558245,0,0,0.295075354108052,0,0
90,1717.01111002859,138.099130104148,6.21658915857651,0.385583065070013,0,0,0.373293530190611,0,0
91,1721.45516704182,201.116183270533,4.27975297424521,0.356731850438414,0,0,0.0228199408537765,0,0
92,1721.46040024709,201.111442747758,4.2798668656716,0.488529387125473,0,0,0.55410908092313,0,0
93,1721.46858861474,201.108673772226,4.27994615131434,0.447382778045865,0,0,0.276124950821855,0,0
94,1721.47202706526,201.102095402372,4.28009470418715,0.69869802773368,0,0,0.464597627130249,0,0
95,1723.44716841991,279.398987874082,3.08420438730548,0.642914806606562,0,0,0.10481143586964,0,0
96,1723.44837680708,279.399389670718,3.08420211446816,0.621613809270238,0,0,0.0702996660612531,0,0
97,1723.45887463875,279.393953951541,3.08428090562345,0.68515717018881,0,0,0.449652652890232,0,0
98,1723.45904641634,279.395892641139,3.0842598116322,0.389726793304389,0,0,0.358211069731013,0,0
99,1724.1970962682,76.8396124262554,11.2194546655409,0.364586515755538,0,0,0.603543840773253,0,0
100,1725.0784126539,78.1084688502617,11.0428384914379,0.412766623785392,0,0,0.4888360083805,0,0
101,1741.05995906829,435.321200308298,1.99974175141856,0.23949540951295,0,0,0.150919228255827,0,0
102,1741.06017667791,435.320294687388,1.999746161534,0.466892681027316,0,0,0.079473439455422,0,0
103,1741.07228743292,435.317602030184,1.9997724412166,0.415721605611201,0,0,0.453886598681398,0,0
104,1741.07277514602,435.31742812425,1.99977380029117,0.343020193850066,0,0,0.0450397580184007,0,0
105,1766.68672753323,80.6989678034628,10.9461544281203,0.56951120873938,0,0,0.423664110934294,0,0
106,1767.14484244594,80.2794907045213,11.0062036202381,0.405804669617926,0,0,0.4235464789557,0,0
107,1801.46606646263,104.712709983927,8.6019455839656,0.000966236160019868,0,0,0.000688865032755872,0,0
108,1817.15915518325,84.3176518003785,10.7756745852302,0.52309071949931,0,0,0.464705177046778,0,0
109,1818.21917547838,84.4354258700983,10.7669213291804,0.499498833152286,0,0,0.446344632861538,0,0
110,1826.73176916116,100.451800858713,9.09257849807232,0.502708521736572,0,0,0.497108374499883,0,0
111,1828.27845635112,99.3931368585137,9.19720673950395,0.502656175318711,0,0,0.496642026811011,0,0
112,1872.26749006123,85.6130898883084,10.9344697902144,0.238825521798574,0,0,0.676895015581525,0,0
113,1872.37174442825,85.4503367139723,10.9559061814796,0.43997678916166,0,0,0.468525457078973,0,0
114,1937.56957006207,85.776925466496,11.2942353641416,0.417982854419148,0,0,0.571084081920505,0,0
115,1938.2264756975,85.4527694067485,11.3409225303846,0.369089612185326,0,0,0.396543733977736,0,0
116,1940.04644788624,98.0708128642522,9.89104908598858,0.0259795673829793,0,0,0.0284450037388945,0,0
117,1943.01030399307,96.0413756773587,10.1154855930032,0.505984568876548,0,0,0.494022164417947,0,0
118,1944.36365036618,95.4867814666704,10.1813236371616,0.493474289587637,0,0,0.480720272342286,0,0
119,2007.43395680547,85.6442473662771,11.7196076709053,0.451277349102223,0,0,0.749139204238743,0,0
120,2007.73576768402,85.7186443654112,11.7111964529281,0.431052124252962,0,0,0.383626102927369,0,0
