freq_Hz,Ez1,Ez0,Ez_1,Ef1,Ef0,Ef_1,Forward,Backward,F1,B1
2582.5,4.76103697480985e-05,0.000619499476998839,4.33073323610404e-05,8.25360186173226e-05,7.88286035526101e-05,9.29485272644565e-05,0.0670174809228002,0.324544833017438,0.476103697480984,0.825360186173226
2583.5,4.69085068891145e-05,0.000609447865406116,4.27995404012299e-05,8.33829396369506e-05,7.72245805284249e-05,9.39047961775045e-05,0.0670930561227764,0.327618485561291,0.469085068891145,0.833829396369506
2584.5,4.62038679125026e-05,0.000599708855399679,4.2293594471223e-05,8.42452496167e-05,7.56667751295594e-05,9.48805890245506e-05,0.0671366517838972,0.330642432564705,0.462038679125026,0.842452496167
2585.5,4.54964719822051e-05,0.000590267424679638,4.17896932851027e-05,8.5123301590946e-05,7.41530943187818e-05,9.58764551787911e-05,0.0671481527915269,0.333616893669021,0.454964719822051,0.85123301590946
2586.5,4.47863422400182e-05,0.00058110946451894,4.12880465911242e-05,8.6017457897306e-05,7.26815675801071e-05,9.68929645240989e-05,0.0671274372350825,0.336542071982761,0.447863422400182,0.86017457897306
2587.5,4.40735060981888e-05,0.000572221712265257,4.07888757511406e-05,8.6928090410654e-05,7.12503381428094e-05,9.79307084176924e-05,0.0670743767699588,0.339418153677368,0.440735060981888,0.86928090410654
2588.5,4.33579955534191e-05,0.000563591689653713,4.02924143517157e-05,8.78555807790515e-05,6.98576549468374e-05,9.89903007076392e-05,0.0669888370718953,0.342245307562411,0.433579955534191,0.878555807790515
2589.5,4.26398475240092e-05,0.000555207646360914,3.97989088487313e-05,8.88003206609975e-05,6.85018652775806e-05,0.00010007237880884,0.066870678390418,0.345023684636997,0.426398475240092,0.888003206609975
2590.5,4.19191042119984e-05,0.000547058508292991,3.93086192474053e-05,8.97627119633822e-05,6.71814080057873e-05,0.000101177604841467,0.0667197562090116,0.347753417614244,0.419191042119984,0.897627119633822
2591.5,4.11958134923552e-05,0.000539133830155469,3.88218198197274e-05,9.0743167079347e-05,6.58948073755018e-05,0.00010230666683608,0.0665359220208226,0.35043462041524,0.411958134923552,0.90743167079347
2592.5,4.04700293314244e-05,0.00053142375190078,3.83387998614526e-05,9.17421091252263e-05,6.46406672888688e-05,0.000103460280010014,0.0663190242298995,0.35306738762912,0.404700293314244,0.917421091252263
2593.5,3.9741812237068e-05,0.00052391895869218,3.78598644908942e-05,9.27599721755618e-05,6.34176660421764e-05,0.000104639188119981,0.0660689091893077,0.355651793935455,0.39741812237068,0.927599721755618
2594.5,3.90112297431473e-05,0.000516610644060199,3.73853354918942e-05,9.37972014950671e-05,6.22245514721337e-05,0.0001058441648962,0.065785422388895,0.358187893485228,0.390112297431473,0.937972014950671
2595.5,3.8278356931245e-05,0.000509490475961397,3.69155522034786e-05,9.48542537662608e-05,6.10601364757028e-05,0.000107076015563819,0.0654684098070313,0.360675719236352,0.38278356931245,0.948542537662608
2596.5,3.75432769927924e-05,0.000502550565478459,3.64508724588256e-05,9.5931597311311e-05,5.99232948704103e-05,0.000108335578457821,0.0651177194423603,0.363115282239679,0.375432769927924,0.95931597311311
2597.5,3.6806081835086e-05,0.000495783437927118,3.59916735763433e-05,9.70297123064399e-05,5.88129575654526e-05,0.000109623726738146,0.0647332030434759,0.36550657087109,0.36806081835086,0.970297123064399
2598.5,3.60668727349779e-05,0.000489182006158567,3.55383534057649e-05,9.81490909870186e-05,5.77281090167985e-05,0.000110941370212266,0.0643147180564337,0.367849550005206,0.360668727349779,0.981490909870186
2599.5,3.53257610444278e-05,0.000482739545866822,3.50913314323481e-05,9.92902378412377e-05,5.66677839421072e-05,0.000112289457273065,0.0638621298122882,0.370144160125949,0.353257610444278,0.992902378412377
2600.5,3.45828689524848e-05,0.000476449672729131,3.46510499424064e-05,0.000100453669789975,5.56310642736235e-05,0.000113668976960517,0.0633753139792272,0.372390316368973,0.345828689524848,1.00453669789975
2601.5,3.38383303087264e-05,0.000470306321223765,3.42179752535567e-05,0.000101639916350161,5.46170763292687e-05,0.000115080961156372,0.0628541593065936,0.374587907490699,0.338383303087264,1.0163991635016
2602.5,3.30922915136809e-05,0.000464303724984629,3.37925990132322e-05,0.000102849519778621,5.36249881840186e-05,0.000116526486921789,0.0622985706909636,0.376736794758425,0.330922915136809,1.02849519778621
2603.5,3.23449124823117e-05,0.000458436398565033,3.33754395691732e-05,0.000104083035192994,5.26540072253145e-05,0.000118006678988759,0.0617084725976862,0.378836810755656,0.323449124823117,1.04083035192994
2604.5,3.159636768725e-05,0.000452699120495157,3.29670434157615e-05,0.000105341030665871,5.17033778777554e-05,0.000119522712416994,0.0610838128747268,0.380887758096415,0.3159636768725,1.05341030665871
2605.5,3.08468472891526e-05,0.000447086917527962,3.25679867202367e-05,0.000106624087287881,5.07723794836371e-05,0.000121075815429039,0.0604245669995428,0.382889408042017,0.308468472891526,1.06624087287881
2606.5,3.00965583623057e-05,0.000441595049978246,3.21788769329758e-05,0.000107932799194869,4.98603243271373e-05,0.000122667272437393,0.0597307428038134,0.384841499013265,0.300965583623057,1.07932799194869
2607.5,2.93457262244537e-05,0.000436218998067885,3.18003544861815e-05,0.000109267773553751,4.8966555791009e-05,0.000124298427278632,0.0590023857254391,0.386743734990706,0.293457262244537,1.09267773553751
2608.5,2.85945958807466e-05,0.000430954449198131,3.1433094585452e-05,0.000110629630500959,4.80904466356216e-05,0.000125970686670857,0.0582395846421134,0.388595783795037,0.285945958807466,1.10629630500959
2609.5,2.7843433592763e-05,0.000425797286076735,3.10778090988399e-05,0.000112019003026684,4.72313973910802e-05,0.000127685523912186,0.0574424783461708,0.390397275239304,0.27843433592763,1.12019003026684
2610.5,2.70925285847141e-05,0.000420743575634128,3.07352485481162e-05,0.000113436536797239,4.6388834853953e-05,0.00012944448283953,0.0566112627261809,0.392147799143991,0.270925285847141,1.13436536797239
2611.5,2.634219490024e-05,0.000415789558668335,3.04062042070312e-05,0.000114882889907034,4.55622106808385e-05,0.000131249182068682,0.0557461987270642,0.393846903205502,0.2634219490024,1.14882889907034
