Quantity,RMSE,RelativeRMSE,MaxAbsError,MeanAbsError,Correlation,PeakFrequencyShift_Hz
Ez1,0.000953904390803529,0.63253107213209,0.00160934408134599,0.000844878768925573,0.0318384447095711,10
Ez0,0.000298238687987613,0.812684232817697,0.000557566878651762,0.000277591325283257,-0.79102882810742,-40
Ez_1,0.00238521788262906,5.52973838685162,0.00355500591515863,0.00193846565596809,0.167507019930781,0
Ef1,0.00147392944017219,1.73441860476344,0.00282519017112537,0.00122577812652002,0.591946917625326,7
Ef0,5.90495742976816e-05,0.983417175616026,9.96820668875294e-05,4.96506452604719e-05,-0.846051208376383,-34
Ef_1,0.000684876981375203,2.70581921417399,0.00136398716547689,0.00054096312599804,-0.323999609976051,10
Forward,0.394779606826489,0.553492361751237,0.501202360763387,0.389484767919616,0.964068545235374,1
Backward,0.189944316581302,0.251216977119702,0.311886051959968,0.160951653048942,0.19318462548263,13
F1,9.53904390803529,0.63253107213209,16.0934408134599,8.44878768925573,0.0318384447095712,10
B1,14.7392944017218,1.73441860476344,28.2519017112538,12.2577812652002,0.591946917625326,7
