% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_200-辐射.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jul 12 2026, 13:07
% Table:              表格 17 {tbl17} - 全局计算 6 {gev6}
% 特征频率 (kHz)                                      Eoz1 (W)                                          Eoz0 (W)                                          Eoz_1 (W)                                         Eof1 (W)                                          Eof0 (W)                                          Eof_1 (W)
1.6689047451599006+5.749023148863491E-4i          5.780866413252046E-9-1.9913859629591516E-12i      1.7808478819886697E-11-6.134643530644671E-15i     7.429406981728472E-9-2.559273250564862E-12i       8.050559372694838E-9-2.7732470849010693E-12i      1.2375397364078586E-11-4.2630621147676914E-15i    6.297655267421503E-9-2.1694087706904692E-12i
1.670874604169547+0.0033850641449286677i          2.8543356228914883E-8-5.782665647398983E-11i      1.9204868744560833E-8-3.890759511997314E-11i      2.9059774218458235E-8-5.887287982063539E-11i      3.264885083880769E-8-6.614407452945982E-11i       1.7458888967338875E-8-3.5370373639141494E-11i     3.2840792682902496E-8-6.653293402420314E-11i
1.6716038183422535+0.005759160091168908i          3.0868464643824313E-9-1.0635081572658415E-11i     2.373996746154915E-9-8.179107493651886E-12i       3.834309045541997E-9-1.3210307005754964E-11i      4.5903572006530986E-9-1.5815112231813757E-11i     2.191226670383045E-9-7.549411560503595E-12i       3.792830028900943E-9-1.3067399760246877E-11i
1.671862429717832+0.006021400325324293i           1.64970861716285E-8-5.941610881076625E-11i        1.805358326125119E-13-6.502200790582647E-16i      1.6810710035400506E-8-6.054566038258125E-11i      1.9782385579109694E-8-7.124848363381534E-11i      9.010434306572222E-13-3.2452091213069543E-15i     1.9202807142733503E-8-6.916106679657262E-11i
1.6719826766222747+0.004975922143821955i          1.9564636879879333E-8-5.822554937177767E-11i      1.8699351641200844E-13-5.565040787057464E-16i     1.9873837475161238E-8-5.914574915043468E-11i      2.2740053724341933E-8-6.76757830453388E-11i       3.749253783007627E-13-1.1158007306250665E-15i     2.2371294671493975E-8-6.657833367432746E-11i
1.6752381067550337+0.010969189295449319i          3.134303818271079E-8-2.0522916565371838E-10i      2.1768782093382714E-8-1.425384788889712E-10i      3.1680139451127026E-8-2.0743645046301418E-10i     3.8215687581542824E-8-2.5023016695201817E-10i     1.9365997257968912E-8-1.2680543079890462E-10i     3.9444228055102344E-8-2.58274452094086E-10i
1.677032615360693+0.016011430075093844i           4.815830864172307E-9-4.597903369851238E-11i       3.6755708531000833E-9-3.50924276376148E-11i       5.238189809213028E-9-5.001149594949575E-11i       7.12052976423571E-9-6.79830930975445E-11i         3.4047963186077713E-9-3.250721403745636E-11i      6.563228089066933E-9-6.26622682543268E-11i
1.6773659872693027+0.016054265245310895i          4.6656246910367856E-9-4.46552373742335E-11i       1.1644619220817407E-12-1.1145200693856313E-14i    4.625338445927443E-9-4.426965302971254E-11i       6.3170791918751285E-9-6.046150076471955E-11i      1.7622423664095186E-14-1.6866626956541795E-16i    6.182215587272404E-9-5.917070549602828E-11i
1.6781782113878623+0.010916612305636479i          2.29186273576766E-8-1.4908653189710862E-10i       5.105051728670668E-13-3.320855326564399E-15i      2.2760870668162514E-8-1.4806031870570882E-10i     2.7935052228784633E-8-1.8171856412505062E-10i     4.5350654296544067E-13-2.9500770979077884E-15i    2.793042714417708E-8-1.8168847777593777E-10i
1.682258714528645+0.023286273082557648i           2.102046522836613E-8-2.909708770730261E-10i       1.602891906170053E-8-2.2187656587266067E-10i      2.1161985116864814E-8-2.9292983305389427E-10i     2.9146408371312E-8-4.0345234585411846E-10i        1.3197408677732321E-8-1.826820451561156E-10i      3.024600459100561E-8-4.1867324953034516E-10i
1.683069841444757+0.021780414051601537i           9.264907134634379E-9-1.1989610209446403E-10i      1.9886868700836725E-12-2.5735369016073956E-14i    8.875836492768486E-9-1.1486118347938906E-10i      1.2597945862396114E-8-1.6302857452850032E-10i     2.5588058946755057E-13-3.3113214016045045E-15i    1.2762957916634701E-8-1.6516397662312562E-10i
1.685407406530355+0.03128692174983667i            5.402491441614592E-9-1.0028870546850403E-10i      4.729007030626543E-9-8.778653300582569E-11i       5.598810400513255E-9-1.0393305631285951E-10i      9.376131486674489E-9-1.7405304557410644E-10i      4.133651417940571E-9-7.6734698063568E-11i         8.877640135761011E-9-1.6479934238722688E-10i
1.6857160524646841+0.03117139618338779i           1.7203825687677996E-9-3.181243161305125E-11i      6.0177219205583146E-12-1.1127662564102584E-13i    1.4338365610929867E-9-2.6513769885923395E-11i     2.5042550806498565E-9-4.6307399842971966E-11i     4.407779523000635E-12-8.150639699941716E-14i      2.988869836419154E-9-5.526864721693738E-11i
1.6918391423945418+0.03946757407651611i           2.3253621463197417E-9-5.42465299831669E-11i       2.8707862989480218E-12-6.697029763196953E-14i     2.2455489406634698E-9-5.238463098367648E-11i      4.2710495662589876E-9-9.963592927765943E-11i      7.220652262766237E-13-1.6844487216328484E-14i     4.022208156648787E-9-9.383090531232259E-11i
1.6920634688695013+0.040457211405252026i          1.1413721315369075E-8-2.7290190035544767E-10i     1.0627379602645203E-8-2.541004821499636E-10i      1.140602934311864E-8-2.727179854177491E-10i       1.9338773996483016E-8-4.623897875514297E-10i      7.082495702140671E-9-1.693423628427693E-10i       1.9528296232944837E-8-4.669212612978931E-10i
1.6964580058069567+0.05145430291134012i           4.335066636170487E-9-1.314844405666607E-10i       5.007855950193814E-9-1.518904306004678E-10i       4.464814777429971E-9-1.354197576447709E-10i       1.0137405793648489E-8-3.07471889463864E-10i       3.5375925068198183E-9-1.0729670631381778E-10i     9.29149373900841E-9-2.8181501204820365E-10i
1.6967035086551694+0.05119866276148221i           6.96207917525428E-10-2.100833421951892E-11i       1.9960531583366204E-11-6.023165036575509E-13i     3.847425015999277E-10-1.1609748838815613E-11i     1.0643744410638656E-9-3.211789672266495E-11i      1.3288444725608406E-11-4.009837880692998E-13i     1.805175020029632E-9-5.447183117408911E-11i
1.7038951922642265+0.060200553520512685i          6.449230357532721E-10-2.278586377069591E-11i      1.0708307350174095E-11-3.783366680503483E-13i     8.464578578544565E-10-2.990631806813837E-11i      2.2064340738924435E-9-7.795582331465779E-11i      7.176996030213257E-12-2.5357142598613547E-13i     1.4157337109141748E-9-5.001948090564619E-11i
1.7045622474643674+0.06055650248976379i           6.9391926303212635E-9-2.465226696297487E-10i      7.55791932633676E-9-2.6850363557187335E-10i       6.66598236368475E-9-2.3681656578026227E-10i       1.3424538061685706E-8-4.769219040053821E-10i      3.1655091638788142E-9-1.1245829470232047E-10i     1.3201820773301062E-8-4.690096203392145E-10i
1.7113171332728057+0.08942743045308223i           3.7301729251869206E-10-1.9492575242741216E-11i    5.236999156161118E-11-2.7366720563639135E-12i     6.919877485704324E-10-3.6160852396376027E-11i     1.8902702863305405E-9-9.877889450277874E-11i      1.741272534389807E-11-9.099279463836429E-13i      9.418058606540172E-10-4.921547062575695E-11i
1.7115306164949742+0.08937720213082245i           6.459595282912988E-9-3.373241166240725E-10i       3.402130657671527E-9-1.7766139649250555E-10i      5.95059864417354E-9-3.107439929464203E-10i        1.2687706526094253E-8-6.625599915247624E-10i      5.893336101218513E-10-3.0775370704274335E-11i     1.2912106052306098E-8-6.742782755092872E-10i
1.7132946997143905+0.08466832878342657i           7.903580823917652E-9-3.9058253076799885E-10i      3.989764434321065E-9-1.97167881830155E-10i        8.08636280417183E-9-3.996153286879517E-10i        1.4825865591192257E-8-7.326709541465428E-10i      1.3133282168042909E-9-6.490261440689325E-11i      1.2787729001313215E-8-6.319494501775072E-10i
