% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_200-辐射.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jul 12 2026, 14:33
% Table:              表格 17 {tbl17} - 全局计算 6 {gev6}
% 特征频率 (kHz)                                      Eoz1 (W)                                          Eoz0 (W)                                          Eoz_1 (W)                                         Eof1 (W)                                          Eof0 (W)                                          Eof_1 (W)
1.668902471015066+6.46382816931633E-4i            8.949412853654716E-10-3.4661981695737313E-13i     5.953516606159912E-10-2.305857233345878E-13i      6.355051193192849E-10-2.461375642581601E-13i      7.466857299640647E-10-2.891989399495998E-13i      5.25481726213889E-10-2.0352439063119127E-13i      5.252641915092768E-10-2.034401372385637E-13i
1.6689039788354654+5.763945241174398E-4i          4.977306589869468E-9-1.7190277569212081E-12i      5.191872191383607E-10-1.7931329417281925E-13i     1.148413973963993E-8-3.966312828103415E-12i       1.4353535896906482E-8-4.957325045430701E-12i      1.116844379010844E-9-3.857279942506858E-13i       4.1998409125497495E-9-1.4505120335606357E-12i
1.6712845896899238+0.003604327563529721i          1.948021006757109E-8-4.2011431519824167E-11i      6.968794277037365E-9-1.5029048584690236E-11i      1.8114725504919623E-9-3.9066598738441235E-12i     1.9786571151411236E-9-4.267213628889209E-12i      6.621493905989352E-9-1.4280053286154816E-11i      2.327951574019511E-8-5.020509419259149E-11i
1.671541104253956+0.006189450295406047i           5.2934041588679335E-8-1.96006319266864E-10i       4.997197529902018E-8-1.8503825989645096E-10i      1.1570374861639372E-7-4.2843254002596285E-10i     1.3270233417610565E-7-4.913755930841779E-10i      4.120638315367923E-8-1.5258066926029112E-10i      5.966455909721782E-8-2.2092835287731E-10i
1.6715742692487334+0.005046768908938014i          3.5886000094204074E-8-1.0834597832316028E-10i     3.034374169132759E-8-9.161295131532746E-11i       8.310505218673171E-8-2.5090838096004426E-10i      9.905967895244283E-8-2.990781307558995E-10i       3.077567676102655E-8-9.291703724231198E-11i       4.294663259914115E-8-1.2966323670580367E-10i
1.6716177901516138+0.005790685640520821i          3.903825849507401E-9-1.3523323586898524E-11i      1.7757613453313226E-9-6.151451476518074E-12i      1.754218813402293E-9-6.07682554765034E-12i        1.3380264739790185E-9-4.635085086528222E-12i      1.4835028352176966E-9-5.1390327479033905E-12i     4.680211651964992E-9-1.621281764725286E-11i
1.6756319343060913+0.011047466086919816i          3.414397157716488E-8-2.2511170881192956E-10i      1.619083658275074E-8-1.0674642467999499E-10i      2.038467234608253E-8-1.343964457979716E-10i       2.511416678194384E-8-1.6557807245400153E-10i      1.4926483734186482E-8-9.841052767872518E-11i      4.320502043004622E-8-2.848513377033926E-10i
1.6767473164300482+0.017127854728648292i          1.1606464541922868E-7-1.1855921082403343E-9i      9.764640766953282E-8-9.974511179770243E-10i       1.7901182245958677E-7-1.8285930502196189E-9i      2.3875045098958556E-7-2.4388188970866237E-9i      8.396459432850879E-8-8.576923665937367E-10i       1.5105387882920293E-7-1.5430046420434311E-9i
1.6767994896231173+0.014025298659146994i          8.665888274469172E-8-7.248432024722778E-10i       6.800050885199729E-8-5.687784684605275E-10i       1.394290425340449E-7-1.16623005636674E-9i         1.7774486551128753E-7-1.4867161156436426E-9i      6.337578558307262E-8-5.300957723695632E-10i       1.117838501609339E-7-9.34996637033101E-10i
1.6770536245070546+0.016069025814331218i          6.195145301964024E-9-5.936002780474827E-11i       3.8910627684976396E-9-3.728299868201896E-11i      5.972716543707046E-9-5.722878202581166E-11i       6.283482486668824E-9-6.020644826539635E-11i       3.3790035440496766E-9-3.237660047514032E-11i      9.235886981513757E-9-8.849550435086033E-11i
1.6825950078519216+0.02332960193096024i           2.5393884756336082E-8-3.5209258323090035E-10i     1.5464988323217075E-8-2.1442594311997065E-10i     2.1029084508123636E-8-2.915735327025427E-10i      2.972544193779851E-8-4.121507102983996E-10i       1.3389897488396514E-8-1.8565428807461815E-10i     3.637078524686923E-8-5.042900625321332E-10i
1.6848325837870746+0.033484140556303534i          1.6107533417790344E-7-3.201189947100462E-9i       1.5200870145132295E-7-3.021000884097648E-9i       2.1922895239912107E-7-4.356927285702973E-9i       3.760975373910775E-7-7.474512854313348E-9i        1.2485657928425438E-7-2.4813831892638526E-9i      2.6910296439383586E-7-5.348116822163675E-9i
1.6849034535455154+0.02740455341272418i           1.0300264879970341E-7-1.6753135526808336E-9i      8.725390825234487E-8-1.419164038235338E-9i        1.463896866237659E-7-2.380993390280671E-9i        2.1889148170535924E-7-3.560217821004551E-9i       7.491620749190564E-8-1.2184942735861013E-9i       1.5626398960889243E-7-2.541596576771803E-9i
1.6854369558570879+0.03138400632803559i           6.6667844907497064E-9-1.2414015601013052E-10i     5.555446403491362E-9-1.034462692160283E-10i       7.923632383658533E-9-1.4754353641386094E-10i      1.0715336121718002E-8-1.9952699831481625E-10i     4.6517994892764056E-9-8.6619736265343E-11i        1.2628734991803009E-8-2.351558137612338E-10i
