% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_辐射_purcell.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jun 27 2026, 20:07
% Table:              表格 64 {tbl64} - 全局计算 6 {gev6}
% freq (Hz)              Ez1/(1e-4[W]) (1)        Ez0/(1e-4[W]) (1)        Ez_1/(1e-4[W]) (1)       Ef1/(1e-4[W]) (1)        Ef0/(1e-4[W]) (1)        Ef_1/(1e-4[W]) (1)
2552.5                   94.01404201336405        30.0892143047545         23.565092842500476       2.796510811365216        5.263450712122228        5.658477838976937
2553.5                   95.04343096671218        29.694984607590744       23.398075301408447       3.030876684711686        5.221389652708543        5.5172573756161185
2554.5                   96.1399434926825         29.307913148632604       23.226671444703364       3.2914268787094274       5.182653575450426        5.379732275380173
2555.5                   97.3062394538109         28.927386607923356       23.050220394612285       3.580304223238915        5.147283546075216        5.2457261963936626
2556.5                   98.54510996366706        28.552774644520163       22.868017868168415       3.899859109959943        5.115327697297053        5.115066422219854
2557.5                   99.85947234949167        28.183426146447182       22.679312598573993       4.252668665537088        5.086841415099706        4.987583031747202
2558.5                   101.25236228229151       27.818665232156288       22.483302654585838       4.6415574454484005       5.061887491631238        4.863108053692793
2559.5                   102.72692236557027       27.45778698872668        22.279131697778322       5.069619655435245        5.04053623077725         4.74147460174648
2560.5                   104.28638633101266       27.100052936618557       22.065885234067938       5.540242864996077        5.0228654893158575       4.622515986769763
2561.5                   105.93405781939437       26.74468621710065        21.84258693693036        6.057133117667658        5.008960631814619        4.506064803857499
2562.5                   107.67328252852563       26.390866508795916       21.6081951461266         6.624341263013434        4.9989143724939025       4.3919519931869715
2563.5                   109.50741228235034       26.037724691606478       21.361599679196036       7.246290228529906        4.992826470831948        4.2800058756457355
2564.5                   111.43975931464416       25.684337294956766       21.101619134139053       7.927802809892567        4.990803240295397        4.1700511667809455
2565.5                   113.47353876588306       25.329720790542844       20.82699891235878        8.674129376569088        4.99295682076803         4.061907976084403
2566.5                   115.61179706778748       24.97282582043721        20.53641025340178        9.490974658326568        4.9994041550477135       3.9553908028274494
2567.5                   117.85732353318328       24.61253149223117        20.22845064761289        10.38452248298194        5.010265597884878        3.850307545987302
2568.5                   120.21254210088104       24.247639923677692       19.901646083018914       11.361456968860672       5.025663072866183        3.746458552597005
2569.5                   122.6793798099767        23.87687128461256        19.55445568808861        12.428978218854393       5.045717677536855        3.64363573883806
2570.5                   125.25910823428866       23.498859664871883       19.185279454614104       13.5948100088224         5.070546621542452        3.5416218294082324
2571.5                   127.9521538268182        23.112150195988757       18.79246986391576        14.867196295630034       5.100259366015809        3.440189775518969
2572.5                   130.75787297326616       22.715197974306793       18.374348392333026       16.254882586186177       5.1349528170932395       3.339102429021224
2573.5                   133.67428760928428       22.306369474738236       17.929228034080058       17.767077306088822       5.17470541294663         3.2381125709465675
2574.5                   136.6977776377027        21.88394730657501        17.455443141198607       19.413387301430188       5.219569935162821        3.136963416473459
2575.5                   139.82272723038648       21.44613934412052        16.95138802667177        21.20372053214147        5.269564875003588        3.035389745066645
2576.5                   143.0411236098369        20.991093456642556       16.415565884422556       23.14814793834391        5.324664198029008        2.93311983275482
2577.5                   146.34210929584668       20.51691925237953        15.846649615997102       25.256715485966204       5.384785382387606        2.829878392167895
2578.5                   149.71149234085462       20.021718417687516       15.243556072139336       27.539196694597848       5.4497756656141005       2.725390750927123
2579.5                   153.13122402884375       19.503625343392066       14.605534959136856       30.004775749656762       5.519396530169448        2.6193885167793334
2580.5                   156.57886013451858       18.960859739037634       13.932273150934014       32.66165192746414        5.593306600007844        2.511616980872645
2581.5                   160.02703029034475       18.391792783593992       13.224014304519518       35.51655791742202        5.671043319286736        2.401844490791115
