comsol_index,theory_index,comsol_pml_fraction,comsol_real_Hz,theory_real_Hz,real_error_Hz,comsol_imag_Hz,theory_imag_Hz,imag_error_Hz,comsol_Q,theory_Q,comsol_Eoz1,theory_Eoz1,Eoz1_error,comsol_Eoz0,theory_Eoz0,Eoz0_error,comsol_Eoz_1,theory_Eoz_1,Eoz_1_error,comsol_Eof1,theory_Eof1,Eof1_error,comsol_Eof0,theory_Eof0,Eof0_error,comsol_Eof_1,theory_Eof_1,Eof_1_error,pair_cost,pair_ambiguity,pair_quality
1,1,0.104458044257901,1256.43837528062,1238.45018702743,-17.9881882531899,123.027638348519,36.7777667641883,-86.2498715843307,5.10632566855146,16.8369411194558,0.46032963649263,0.485891580350894,0.025561943858264,1.00522635231171e-09,1.0601000876458e-08,9.59577452414629e-09,0.539670362502144,0.514108409048105,-0.025561953454039,0.54377373525578,0.511570016078673,-0.032203719177107,1.82377300906495e-09,9.39199920620792e-09,7.56822619714297e-09,0.456226262920447,0.488429974529328,0.032203711608881,1.72805310113334,4.20211242975353,moderate
2,4,0.0953808976958482,1308.98491253689,1383.91648337785,74.9315708409599,134.12501806633,83.7537514911422,-50.3712665751878,4.8797194267275,8.26181788122177,0.471295086806733,0.497532820444443,0.02623773363771,8.77897825126976e-08,4.28439637355764e-08,-4.49458187771212e-08,0.528704825403484,0.502467136711593,-0.0262376886918909,0.535817603769146,0.520987295695781,-0.0148303080733651,5.51869105803425e-08,5.62370410319597e-08,1.0501304516172e-09,0.464182341043943,0.479012648067178,0.014830307023235,6.34855895240645,4.55564378134923,low
3,5,0.0929930919829458,1310.22044607279,1384.22307131509,74.0026252422999,131.524851013598,82.4289174271371,-49.0959335864609,4.98088549797076,8.3964651879522,0.457226515774251,0.454918109883676,-0.00230840589057502,6.81538127502275e-08,7.68621290334571e-08,8.70831628322959e-09,0.542773416071937,0.545081813254195,0.00230839718225806,0.52889036221816,0.489844766226388,-0.039045595991772,1.32606496473387e-08,2.00018644592874e-07,1.86757994945535e-07,0.47110962452119,0.510155033754967,0.039045409233777,6.27082185170312,4.76156603717304,low
4,2,0.0801959949403215,1319.37427972494,1325.84659038722,6.47231066228005,117.864168048509,61.2413782576117,-56.6227897908973,5.59701180422339,10.8247611999362,0.463753163028643,0.487183078095113,0.02342991506647,1.93252888062445e-08,8.68846859964308e-09,-1.06368202066014e-08,0.536246817646068,0.512816913216419,-0.023429904429649,0.518363877856156,0.520098337247134,0.00173445939097794,1.01968097334575e-08,1.34600444268712e-08,3.2632346934137e-09,0.481636111947034,0.479901649292821,-0.00173446265421301,0.65871144281109,4.80072920394995,high
5,3,0.02663992725398,1331.93625294502,1368.07060627382,36.1343533288,94.6806025386571,70.1256620880059,-24.5549404506512,7.03383912455146,9.7544220299619,2.20556748340982e-07,3.2387672487745e-07,1.03319976536468e-07,0.999999537223752,0.999999395652707,-1.41571044998123e-07,2.42219499742082e-07,2.80470567551774e-07,3.8251067809692e-08,2.64323439412716e-08,1.18483532974425e-08,-1.45839906438291e-08,0.999999942404858,0.999999973320503,3.09156450439829e-08,3.11627980481396e-08,1.48311438710168e-08,-1.63316541771228e-08,3.05669055902859,0.883211909708515,low
6,6,0.0357670754065612,1403.14659536679,1391.95931493835,-11.1872804284401,130.385501787558,78.348813685325,-52.036688102233,5.38076157291239,8.88309120115668,1.1371172758508e-08,0.458945136752551,0.458945125381378,0.999999981515521,9.49857850689637e-09,-0.999999972016943,7.11330632340115e-09,0.54105485374887,0.541054846635564,6.56627279402441e-09,0.478902300615985,0.478902294049712,0.99999999061654,1.03986421644708e-08,-0.999999980217898,2.81718764598323e-09,0.521097688985373,0.521097686168185,2.60949916014648,0.407523966899164,low
7,7,0.0587444175770813,1425.23785969866,1452.11623718347,26.87837748481,113.080690056145,87.2548000281611,-25.8258900279839,6.3018622321416,8.32112523732108,0.491708534337651,9.7419897902674e-09,-0.491708524595661,5.34873638900956e-09,0.999999985645982,0.999999980297246,0.508291460313613,4.61202860674006e-09,-0.508291455701584,0.533256402674332,6.20737908896967e-09,-0.533256396466953,2.02026469031529e-09,0.999999993101572,0.999999991081307,0.466743595305404,6.91048760902351e-10,-0.466743594614355,3.87917524727042,0.604907766509768,low
8,8,0.00186408986642442,1479.18182971742,1478.73081139415,-0.451018323270091,4.27605472084719,4.27254599157576,-0.00350872927142998,172.961050113077,173.05030938342,0.989618692273398,0.984266649844944,-0.005352042428454,2.31600072703384e-06,1.96049299583921e-06,-3.5550773119463e-07,0.0103789917258748,0.0157313896620597,0.0053523979361849,0.993294108429061,0.988887523783931,-0.00440658464513,1.28765655085272e-06,8.41538987040659e-07,-4.46117563812061e-07,0.00670460391438823,0.0111116346770818,0.00440703076269357,0.0455102861308693,1.36925720118186,high
9,9,0.0514139765189747,1504.90641280208,1481.65549834206,-23.2509144600201,114.668690543904,90.7196232910372,-23.9490672528668,6.56197609680513,8.16612461886425,0.400153299953008,0.507564470894399,0.107411170941391,4.5887353074222e-09,9.23789964306472e-09,4.64916433564252e-09,0.599846695458257,0.492435519867701,-0.107411175590556,0.406374477280652,0.534706136947131,0.128331659666479,5.58508243448918e-10,3.92597755376202e-09,3.3674693103131e-09,0.59362552216084,0.465293859126891,-0.128331663033949,2.16169347125511,1.44466268752539,moderate
10,11,0.0536086180716204,1505.81253190047,1552.93932039095,47.1267884904798,119.410874468494,95.2091004397225,-24.2017740287715,6.30517337136564,8.15541431028499,0.40014080671742,0.382943839426238,-0.017196967291182,6.0250893191082e-08,1.334912739791e-08,-4.6901765793172e-08,0.599859133031687,0.617056147224635,0.0171970141929479,0.430007597796744,0.399846503150188,-0.030161094646556,3.66402446865257e-09,1.19251830921403e-09,-2.47150615943854e-09,0.569992398539232,0.600153495657294,0.030161097118062,3.99946605544421,1.444662646715,low
11,12,0.054784701748745,1510.22146268127,1559.16393872393,48.94247604266,122.685649533979,97.831633733907,-24.854015800072,6.15484153369949,7.96860830804848,0.508179613247785,0.508211516214434,3.19029666489001e-05,1.00807057070076e-08,5.8056591632863e-10,-9.50013979067897e-09,0.491820376671509,0.491788483205,-3.18934665090032e-05,0.516653097750277,0.510750232261446,-0.00590286548883101,4.92504678715761e-09,3.40128141313152e-09,-1.52376537402609e-09,0.483346897324676,0.489249764337272,0.00590286701259601,4.1176190383377,1.22184954413343,low
12,10,0.0261423927475097,1548.16512362716,1551.07370008868,2.90857646151994,103.698075787909,93.1582365060935,-10.5398392818155,7.46477266749669,8.32494129484315,1.07113590607575e-08,0.374519098612635,0.374519087901276,0.999999960031485,3.48033771048199e-09,-0.999999956551147,2.92571563652678e-08,0.625480897907027,0.625480868649871,2.35452185057748e-08,0.379127280832026,0.379127257286808,0.999999972118073,2.00839452751008e-09,-0.999999970109678,4.33670851693675e-09,0.620872717159579,0.62087271282287,1.85863226163583,0.152167093690287,moderate
13,13,0.0394006453527883,1618.27619685483,1597.21056575025,-21.06563110458,103.977750787484,66.5520434680879,-37.4257073193961,7.78183882897394,11.9997109218451,0.492779196426187,9.15929852626426e-11,-0.492779196334594,1.08611465464977e-11,0.999999996744465,0.999999996733604,0.507220803562952,3.1639416548262e-09,-0.50722080039901,0.512659359028176,5.39966787066728e-09,-0.512659353628508,4.22168898850911e-09,0.999999991174257,0.999999986952568,0.487340636750135,3.42607502622919e-09,-0.48734063332406,3.42308701202713,0.202301848897365,low
14,15,0.00189062718740114,1662.80230949227,1661.98102831083,-0.821281181440099,0.990594723316899,0.834902921317646,-0.155691801999253,839.294956026294,995.313937629951,1.25212437920425e-08,2.92582635967757e-08,1.67370198047332e-08,0.999999271452732,0.999998941940335,-3.29512397034826e-07,7.16026023849253e-07,1.02880140154942e-06,3.12775377700167e-07,4.07355409273469e-07,3.01663405130804e-07,-1.05692004142665e-07,0.999999507605975,0.999999267100483,-2.40505491966303e-07,8.50386158942034e-08,4.31236112178633e-07,3.4619749628443e-07,0.08882430687188,0.221319374269993,high
15,16,0.00179411232260217,1665.99268954057,1665.59561786146,-0.397071679110013,0.497018554751826,0.495742599263676,-0.00127595548815002,1675.98641299463,1679.89962970235,1.27250209383772e-06,1.76024754897249e-06,4.8774545513477e-07,0.999996875028874,0.999995672505359,-1.20252351498706e-06,1.85246903198854e-06,2.56724709193247e-06,7.1477805994393e-07,1.54404392058015e-06,1.34683163988345e-06,-1.972122806967e-07,0.999998082283942,0.999998554573676,4.72289733988163e-07,3.73672137798869e-07,9.85946841381143e-08,-2.75077453660755e-07,0.0333504993959895,0.357678071838057,high
16,17,3.7840167851684e-05,1667.07548297936,1666.40326462635,-0.672218353010066,0.1114468280868,0.0938289606327382,-0.0176178674540618,7479.24149838055,8880.00492272808,0.336992016149355,0.356673456211481,0.019681440062126,1.72593382758601e-05,5.92346151826652e-05,4.19752769068051e-05,0.662990724512369,0.643267309173337,-0.019723415339032,0.516206679460746,0.507423376944558,-0.00878330251618809,1.4759288226025e-05,4.27543935478166e-05,2.79951053217916e-05,0.483778561251028,0.492533868661894,0.008755307410866,0.0864192575900123,0.533001250273129,high
17,18,0.000335002035610094,1667.45530344692,1666.82083750025,-0.634465946669934,0.987196591211235,1.11752954676863,0.130332955557395,844.540650915866,745.761417369196,0.115695632932044,0.160202509919765,0.044506876987721,5.28682759811374e-07,1.43467418045177e-06,9.05991420640396e-07,0.884303838385196,0.839796055406055,-0.044507782979141,0.877973971475163,0.834323531166877,-0.043650440308286,1.03933236707195e-06,1.36981225322204e-06,3.3047988615009e-07,0.12202498919247,0.16567509902087,0.0436501098284,0.138623042150151,0.632950249672729,high
26,14,0.0255083496859625,1676.08603444147,1656.34548597824,-19.74054846323,106.595246990881,77.2677651768627,-29.3274818140183,7.86191730755525,10.7182178893549,2.54727552159847e-08,0.492394466723387,0.492394441250632,0.999999968133475,1.47441480086635e-09,-0.99999996665906,6.39376959461719e-09,0.507605531802198,0.507605525408428,1.48020274092303e-08,0.508868263677541,0.508868248875514,0.999999980633248,8.30869337136057e-09,-0.999999972324555,4.56472459765198e-09,0.491131728013766,0.491131723449041,3.29381954377022,0.0169578751604103,ambiguous
30,19,0.287276120203001,1677.40415179825,1689.54229611763,12.13814431938,15.1413596102825,3.14067987342122,-12.0006797368613,55.3914640089228,268.977158483392,4.5010636955341e-07,7.5657412004398e-07,3.0646775049057e-07,0.999999418201642,0.999998228023327,-1.19017831490265e-06,1.31691988228474e-07,1.01540255328669e-06,8.83710565058216e-07,2.00692604693911e-07,7.49954464119277e-07,5.49261859425366e-07,0.999999645670265,0.999998049262841,-1.59640742403155e-06,1.53637130534028e-07,1.20078269498033e-06,1.0471455644463e-06,1.24146082482224,0.20272839500355,moderate
34,20,0.297698279144523,1686.4792544583,1695.3217544853,8.84250002700014,28.880735164896,4.76910209752138,-24.1116330673746,29.1973047920917,177.740140577658,6.07121745907395e-07,1.43284891255897e-05,1.37213673796823e-05,0.999999174419662,0.999978721299524,-2.04531201379865e-05,2.18458592328519e-07,6.95021135019572e-06,6.7317527578672e-06,4.28760725189522e-08,5.70917554547582e-07,5.2804148202863e-07,0.999999339944713,0.99999800827518,-1.33166953297792e-06,6.1717921434407e-07,1.42080726583574e-06,8.0362805149167e-07,1.00419632527763,0.422018434203693,moderate
