Quantity,RMSE,RelativeRMSE,MaxAbsError,MeanAbsError,Correlation,PeakFrequencyShift_Hz
Ez1,0.00138500722321061,0.918394036398281,0.0021026196639774,0.00131564100749647,-0.408742950699827,26
Ez0,0.000302689091847835,0.824811341715867,0.000567964799226829,0.000281388204667835,-0.757827894119845,-40
Ez_1,0.000442313075100552,1.02543067792783,0.00151399818211298,0.000309176260410297,0.488674505291173,0
Ef1,0.00096473034619719,1.13522819710339,0.00272311846280039,0.000671115794643192,-0.0749133361684933,25
Ef0,5.85257449007887e-05,0.974693271470669,9.97426113942983e-05,4.81779414240613e-05,-0.924521808027388,-34
Ef_1,0.000700468781381351,2.76741946237547,0.00121715779295749,0.00057571379631709,-0.0380320632800461,32
Forward,0.582554890554015,0.816758709535349,0.852454424840746,0.546603390651577,-0.750172236995676,18
Backward,0.242405433264422,0.320601117622881,0.428710626926559,0.194290672728946,-0.102628378991091,21
F1,13.8500722321061,0.918394036398281,21.026196639774,13.1564100749647,-0.408742950699827,26
B1,9.6473034619719,1.13522819710339,27.2311846280039,6.71115794643192,-0.0749133361684932,25
