Quantity,RMSE,RelativeRMSE,MaxAbsError,MeanAbsError,Correlation,PeakFrequencyShift_Hz
Ez1,0.00135492282382301,0.898445163552584,0.0021041400810677,0.00124595529485684,-0.340120944384562,26
Ez0,0.00029984545269013,0.817062579397728,0.00057298613808213,0.00027791331654239,-0.757863692456019,-40
Ez_1,0.000293425875139879,0.680260003613622,0.000521912382194286,0.000242062330838325,0.547924650851971,0
Ef1,0.000426070183616064,0.501370033909052,0.000744477736679982,0.000358260338294311,-0.0127741460931346,25
Ef0,5.87351921342096e-05,0.978181425435896,9.98320463282892e-05,4.86330471439818e-05,-0.915607841652329,-34
Ef_1,0.00113995044312007,4.50372825497346,0.00290421344129233,0.000835333126303311,0.135198904722862,32
Forward,0.564912887425673,0.792024113804774,0.855846034547385,0.500920852803583,-0.743570510055121,24
Backward,0.332126034522403,0.439263990190297,0.492556778413622,0.302067791799245,0.166273298707298,-19
F1,13.5492282382301,0.898445163552584,21.041400810677,12.4595529485684,-0.340120944384562,26
B1,4.26070183616064,0.501370033909052,7.44477736679982,3.58260338294311,-0.0127741460931346,25
