comsol_index,theory_index,pml_fraction,comsol_real_Hz,theory_real_Hz,real_error_Hz,comsol_imag_Hz,theory_imag_Hz,imag_error_Hz,comsol_Q,theory_Q,comsol_Forward,theory_Forward,Forward_error,comsol_Backward,theory_Backward,Backward_error,pair_cost,pair_ambiguity,pair_quality
1,28,0.104458044257901,1238.54643052222,1214.04042963019,-24.50600089203,124.291942244826,57.9022402616702,-66.3897019831558,4.98240838526192,10.483535905897,0.500111776606337,0.509933763060023,0.00982198645368604,0.500029524428458,0.639933979749453,0.139904455320995,2.23279217633318,1.42079683378508,low
2,29,0.0953808976958482,1245.52334629692,1214.78468881234,-30.73865748458,124.189811117432,66.3617041514771,-57.8281069659549,5.01459554165506,9.15275386870324,0.482664353106758,0.682348380565292,0.199684027458534,0.476914316654994,0.917498257392651,0.440583940737657,2.97668185403347,1.42079683378508,low
3,30,0.0929930919829458,1258.2216515788,1231.62089629724,-26.6007552815599,137.900502172875,27.6842155144832,-110.216286658392,4.56206334187773,22.2440996323864,0.0558901453562974,0.507393131687507,0.45150298633121,0.0181648189535195,0.508057741870963,0.489892922917443,2.93040315738415,1.42079683378508,low
4,31,0.0801959949403215,1319.23669713957,1311.44087725689,-7.79581988268001,122.076298404306,42.0341731525946,-80.0421252517114,5.40332855101145,15.5996987557722,0.50199675372722,5.0864202621294e-05,-0.501945889524599,0.498019035017528,4.96957871345776e-05,-0.497969339230393,1.31107896832473,0.918859940231875,moderate
5,32,0.02663992725398,1319.30224742893,1316.90569266254,-2.39655476638995,120.865759704305,34.2097175345519,-86.6560421697531,5.45771710142132,19.2475382372343,0.501551605358403,0.495254115287868,-0.00629749007053504,0.497567564865362,0.502068021927518,0.00450045706215596,0.396173001315543,0.918408470079709,high
6,35,0.0357670754065612,1390.59973290855,1357.66831343698,-32.9314194715701,129.83911551891,60.6791698834557,-69.1599456354543,5.35508782292195,11.1872683496215,0.00278818673890247,2.60663757284347e-05,-0.00276212036317403,0.00224381490224222,1.45148025752939e-06,-0.00224236342198469,2.86208269275233,0.248703791644937,low
7,37,0.0587444175770813,1408.28677957762,1367.12368186487,-41.1630977127502,118.472807197118,107.69690272249,-10.775904474628,5.9435021963921,6.34708913304421,0.500052004975995,0.779985832435143,0.279933827459148,0.499957531134704,0.815222882806532,0.315265351671828,3.74232112218866,0.510292443436438,low
8,38,0.00186408986642442,1414.22200447406,1386.00948120649,-28.2125232675701,116.628346339722,47.1772733888658,-69.4510729508562,6.06294288163287,14.6893767024441,0.494866901549123,0.527280101695801,0.032413200146678,0.498833636067129,0.101523949450316,-0.397309686616813,2.70300211425963,0.510292443436438,low
9,39,0.0514139765189747,1504.03238823443,1393.25647798315,-110.77591025128,114.384484738564,52.4830871023995,-61.9013976361645,6.57445977779255,13.2733853409268,0.491796830051861,0.888192030185696,0.396395200133835,0.508304199199251,0.592509236083215,0.0842050368839641,9.58965720312044,0.156262763467582,low
10,40,0.0536086180716204,1504.29622384695,1397.80455236436,-106.49167148259,114.567569368858,43.253692308697,-71.313877060161,6.5651049076714,16.1582107532968,0.491174813265746,0.535997338854299,0.044822525588553,0.508299967954239,0.623641482832832,0.115341514878593,9.10190675769909,0.200235365554227,low
11,41,0.054784701748745,1527.12882519542,1501.54610277671,-25.5827224187099,119.767052294723,5.7981510591301,-113.968901235593,6.37541292006362,129.48490712503,0.0012744521524849,0.837179344124941,0.835904891972456,0.000697338239461649,0.842626269861053,0.841928931621591,3.42497756091955,1.35199256368149,low
12,42,0.0261423927475097,1606.42688562248,1511.85663437643,-94.57025124605,109.615485539061,43.309199160303,-66.306286378758,7.32755448613163,17.4542206238968,0.501167359714277,0.544855085375047,0.0436877256607701,0.49868588893216,0.532984967536701,0.034299078604541,8.06047116010239,0.209283685615713,low
13,43,0.0394006453527883,1609.9906562647,1521.58213656662,-88.40851969808,108.059878579247,44.6365290329672,-63.4233495462798,7.44953019304009,17.0441359300454,0.501114873348252,1.47892809939357e-05,-0.501100084067258,0.497459774401618,3.15382576780222e-05,-0.49742823614394,8.00053401743704,0.216336778668251,low
14,44,0.00189062718740114,1656.91598666034,1560.74557282052,-96.17041383982,0.237339268663547,162.950920603918,162.713581335254,3490.60649758971,4.78900507906366,0.498546077675748,0.475756891085698,-0.02278918659005,0.498567235742133,0.755094430099948,0.256527194357815,9.03757126274833,0.043061463898849,ambiguous
15,45,0.00179411232260217,1664.01070650559,1560.94298942551,-103.06771708008,112.035063765932,170.237846548829,58.202782782897,7.42629428043219,4.58459449843248,0.000204236060849065,0.827939376418713,0.827735140357864,0.00137342982769598,0.834891261968505,0.833517832140809,9.48308291191451,0.209583159545126,low
16,46,3.7840167851684e-05,1668.82841165628,1576.29026168453,-92.53814997175,0.304283140041498,169.6980854787,169.393802338659,2742.22950937847,4.64439612632628,0.363620752815597,0.838398090628782,0.474777337813185,0.403124866988594,0.803063980690363,0.399939113701769,9.01917533615955,0.0759862989593307,ambiguous
17,47,0.000335002035610094,1668.89927281397,1577.65034008101,-91.2489327329599,0.707542050419854,165.57833255293,164.87079050251,1179.36401930009,4.76406035667948,0.458834348476201,0.533987872739684,0.0751535242634829,0.539991826746167,0.764711825662071,0.224719998915904,8.53748979689222,0.213868227684138,low
18,48,0.829458234143763,1668.90270021129,1603.20995484674,-65.6927453645501,0.639926085910999,58.901562643889,58.261636557978,1303.98083228271,13.6092310872933,0.131609065542615,0.485256556378409,0.353647490835794,0.66634562478324,0.449569695901456,-0.216775928881784,6.39752145663852,0.046461641953079,ambiguous
19,49,0.824349211675402,1668.90474515992,1606.48067544368,-62.42406971624,0.574902314886799,59.5522454551081,58.9773431402213,1451.46810331468,13.4879941399917,0.437014713720336,0.462635888393606,0.02562117467327,0.560600877247703,0.637130090165893,0.0765292129181899,5.90419124257629,0.209106491257408,low
20,50,0.808599621306404,1670.87460416957,1616.74580329339,-54.1288008761799,3.38506414492781,67.9558097137319,64.5707455688041,246.801025421218,11.8955672083376,0.371619577768793,0.451826559194201,0.080206981425408,0.39360371858613,0.558105998211209,0.164502279625079,5.07874628843626,0.208406086036364,low
