NumPoles,CompositeError,ChannelRelativeRMSE,DerivedRelativeRMSE,FractionalImprovement,NumBasis
1,0.0837881491074729,0.09770387465458,0.0335768246013825,NaN,8
2,0.0359664209925324,0.0415952367120328,0.0165799916587276,0.570745727460823,12
3,0.00744195995482208,0.00879652051618494,0.00201463539713071,0.793085890965708,16
4,0.00290239113717098,0.0034339051009328,0.000752066804612559,0.609996404873107,20
5,0.00230134504091677,0.00251536994056022,0.00170022433896283,0.207086525505334,24
6,0.000800441343579833,0.000920001117556542,0.00040093600943371,0.65218542663165,28
7,0.000717104502064832,0.00081719519743111,0.000394855557508147,0.104113614549558,32
8,0.000106266231402618,0.00012608307086094,2.34274344951481e-05,0.851812070490933,36
