freq_Hz,Ez1,Ez0,Ez_1,Ef1,Ef0,Ef_1,Forward,Backward,F1,B1
2582.5,0.000905940535833273,0.000208843907008412,0.000608049898721835,0.000330358564447129,1.18785739859237e-05,0.000308643298342943,0.525843091223215,0.507556450895181,9.05940535833273,3.30358564447129
2583.5,0.000952548653429001,0.000202868332185256,0.000606166573698294,0.000358829031030409,1.26537293586268e-05,0.000320991375900382,0.540734300336414,0.518184019049684,9.52548653429001,3.58829031030409
2584.5,0.00100579999468133,0.000196718171063716,0.00060224161247682,0.000391891610281067,1.34746379905697e-05,0.000333568922154859,0.557304083800168,0.53034640380546,10.0579999468133,3.91891610281067
2585.5,0.00106692619717149,0.000190392388702269,0.000595539048441374,0.000430478550856983,1.43451945404122e-05,0.000346102598463628,0.575827401637285,0.544271352444197,10.6692619717149,4.30478550856983
2586.5,0.0011373087135819,0.000183892274340452,0.000585114214485426,0.000475677623869314,1.52701253753515e-05,0.000358163963127165,0.596600558053263,0.560206174215405,11.373087135819,4.75677623869314
2587.5,0.00121840205780792,0.000177222113161517,0.000569776373094726,0.000528701347521036,1.62553349573216e-05,0.000369102855276307,0.619925572671534,0.578410186298981,12.1840205780792,5.28701347521036
2588.5,0.00131155251032817,0.00017039000669111,0.000548073739654363,0.000590790216239454,1.73083887998706e-05,0.000377964112941928,0.646079806512122,0.599140607860083,13.1155251032817,5.90790216239454
2589.5,0.00141763942998138,0.000163408869612847,0.000518338552825649,0.000662996537668856,1.84391338964288e-05,0.000383398341240585,0.675263555331561,0.622629001041994,14.1763942998138,6.62996537668856
2590.5,0.00153644973588796,0.000156297651282492,0.000478858219942394,0.000745776720525363,1.96603738149607e-05,0.000383599948501428,0.707517852622729,0.649044976549179,15.3644973588796,7.45776720525363
2591.5,0.00166572602730052,0.000149082886345066,0.000428266824008205,0.000838327178849541,2.09883304162321e-05,0.000376345556601768,0.742608017793833,0.678444277323704,16.6572602730052,8.38327178849541
2592.5,0.00179998319278258,0.000141800801688218,0.000366242952673298,0.000937688293236243,2.24423210930379e-05,0.000359255586390634,0.779879626193205,0.71070039441416,17.9998319278258,9.37688293236243
2593.5,0.00192955359757061,0.000134500405065933,0.000294477176900336,0.001037886433417,2.40428005453833e-05,0.0003304151036466,0.818116637300296,0.745423675295237,19.2955359757061,10.37886433417
2594.5,0.0020408254636278,0.000127248149253004,0.00021755964216341,0.00112977114885323,2.5807140546446e-05,0.000289363020260492,0.855464878900666,0.781880302888523,20.408254636278,11.2977114885323
