Quantity,RMSE,RelativeRMSE,MaxAbsError,MeanAbsError,Correlation,PeakFrequencyShift_Hz
Ez1,0.00127010237825845,0.842200986579592,0.00187105209719089,0.00121818256354574,-0.0134456909992983,-14
Ez0,0.000902872656084697,2.46027896914817,0.00111799519539252,0.000885166882329063,0.660978668943229,0
Ez_1,0.000379077412784479,0.878829115079516,0.000608091521423481,0.000328223358815069,0.167945284909094,-40
Ef1,0.000718329677649354,0.845280868481208,0.00109636313110426,0.000667469959264781,-0.316091395952474,-15
Ef0,0.000100335202633622,1.67099192098142,0.000196899043382272,9.53209340062787e-05,0.924599426749683,6
Ef_1,0.000127720797518271,0.504600676285887,0.000283161722894562,0.000106598079838626,0.398819010139133,-8
Forward,0.549506507693895,0.770423926367721,0.773355868391667,0.524666398034902,0.160651153044911,-16
Backward,0.480108855539855,0.634983439083298,0.651797391196767,0.454926703408805,-0.0178279572785308,-17
F1,12.7010237825845,0.842200986579592,18.7105209719089,12.1818256354574,-0.0134456909992985,-14
B1,7.18329677649354,0.845280868481208,10.9636313110426,6.67469959264781,-0.316091395952474,-15
