theory_index,frequency_real_Hz,frequency_imag_Hz,Eoz1_ratio,Eoz0_ratio,Eoz_1_ratio,Eof1_ratio,Eof0_ratio,Eof_1_ratio,Forward,Backward,operator_residual
1,1668.67020721919,2.54125737644644,0.334851757370659,0.330296498527906,0.334851744101435,0.33385213904809,0.332295704457217,0.333852156494693,0.334851757370659,0.33385213904809,1.17672569085861e-10
2,1669.74225433821,3.51611503423443,0.390100800032801,0.219798399934398,0.390100800032801,0.389500806105228,0.220998387789545,0.389500806105228,0.390100800032801,0.389500806105228,1.61540403684899e-11
3,1672.76008176837,10.1401761534434,0.339821270408611,0.320359680773232,0.339819048818157,0.335670256177148,0.328656672459089,0.335673071363764,0.339821270408611,0.335670256177148,5.83246961517795e-13
4,1679.62968246225,22.7220825248181,0.347286163253731,0.30542765448417,0.347286182262099,0.337265158720939,0.325469602812621,0.33726523846644,0.347286163253731,0.337265158720939,7.60548583798819e-11
5,1689.3534682539,40.1623040064241,0.356251371512456,0.287499005374576,0.356249623112968,0.338638530202434,0.322668544648599,0.338692925148967,0.356251371512456,0.338638530202434,9.65703610894443e-13
6,1689.79865505707,38.3822003255219,0.500000000000001,5.23443457402843e-31,0.499999999999999,0.499999999999998,6.15412300432905e-31,0.500000000000002,0.500000000000001,0.499999999999998,2.36160804888606e-11
7,1695.40007851933,51.3473071220719,0.408886228224276,0.182227543551449,0.408886228224275,0.402708167577115,0.19458366484577,0.402708167577115,0.408886228224276,0.402708167577115,9.14700346920317e-09
8,1700.7779787864,13.5596389639385,0.500000000000001,1.06907905529334e-30,0.499999999999999,0.499999999999999,1.07633452239822e-30,0.500000000000001,0.500000000000001,0.499999999999999,7.10569030934689e-12
9,1702.02547577012,62.2863836831919,0.365991053725589,0.268018411329736,0.365990534944675,0.362090281686552,0.275818893041299,0.362090825272149,0.365991053725589,0.362090281686552,2.1603891409058e-11
10,1709.49951598476,75.0370170366398,0.382969175347531,0.234058103109373,0.382972721543095,0.381693289213891,0.236618475137108,0.381688235649002,0.382969175347531,0.381693289213891,3.95790601297425e-12
11,1717.74988928356,88.8713415012342,0.376373139603696,0.247253674135927,0.376373186260377,0.386386730814681,0.227226715809502,0.386386553375817,0.376373139603696,0.386386730814681,1.03261623690835e-11
12,1718.97337331706,88.5064402404509,0.422281563380224,0.155436873239552,0.422281563380224,0.409906292650244,0.180187414699512,0.409906292650245,0.422281563380224,0.409906292650244,1.34430958768796e-12
13,1726.78941323347,103.754394488863,0.391943982289024,0.216107821905431,0.391948195805545,0.390649542427161,0.218703854686791,0.390646602886047,0.391943982289024,0.390649542427161,3.60184466065e-12
14,1747.28303019823,136.514389757046,0.400657708180874,0.198685509411655,0.400656782407472,0.399547105440188,0.200904937882792,0.39954795667702,0.400657708180874,0.399547105440188,1.55390307977687e-11
15,1758.75758812157,154.309674112134,0.372454547488754,0.255090787898323,0.372454664612924,0.407129096333958,0.185742654799566,0.407128248866476,0.372454547488754,0.407129096333958,2.03401140770831e-12
16,1771.06160878326,172.990935293973,0.408698901031322,0.182601502117994,0.408699596850684,0.408002805358986,0.183995552227929,0.408001642413085,0.408698901031322,0.408002805358986,1.35491584014965e-11
17,1798.1791018052,212.830286090292,0.415788686000435,0.168420000759233,0.415791313240332,0.415708153646735,0.168586973844981,0.415704872508284,0.415788686000435,0.415708153646735,1.00121279638122e-11
18,1812.99748852032,233.895551413915,0.310583442610326,0.378832388329991,0.310584169059683,0.422608324256856,0.154785468241952,0.422606207501192,0.310583442610326,0.422608324256856,3.27586839532724e-12
