comsol_index,theory_index,comsol_real_Hz,theory_real_Hz,comsol_imag_Hz,theory_imag_Hz,comsol_Forward,theory_Forward,comsol_Backward,theory_Backward,real_relative_error,imag_relative_error
20,2,1670.87460416955,1669.74225433821,3.38506414492867,3.51611503423443,0.371619577768046,0.390100800032801,0.393603718584389,0.389500806105228,0.00067769887010587,0.0387144478494149
21,1,1671.60381834225,1668.67020721919,5.75916009116891,2.54125737644644,0.33209208190899,0.334851757370659,0.434100390252401,0.33385213904809,0.00175496794807013,0.55874514057298
24,3,1675.23810675503,1672.76008176837,10.9691892954493,10.1401761534434,0.369646347171863,0.339821270408611,0.393870940673872,0.335670256177148,0.00147920762825761,0.0755765188909503
26,8,1677.3659872693,1700.7779787864,16.0542652453109,13.5596389639385,0.502105103635897,0.500000000000001,0.505394136007118,0.499999999999999,0.0139575928537877,0.155387135023263
28,4,1682.25871452864,1679.62968246225,23.2862730825576,22.7220825248181,0.36110583624001,0.347286163253731,0.401521972540997,0.337265158720939,0.00156279889870338,0.0242284609365929
32,6,1691.83914239454,1689.79865505707,39.4675740765161,38.3822003255219,0.508411247135197,0.500000000000001,0.514957797747403,0.499999999999998,0.00120607644447066,0.0275003918125292
33,5,1692.0634688695,1689.3534682539,40.457211405252,40.1623040064241,0.341246654832816,0.356251371512456,0.420869568719838,0.338638530202434,0.00160159513248844,0.00728936544523389
34,7,1696.45800580696,1695.40007851933,51.4543029113401,51.3473071220719,0.313959233287389,0.408886228224276,0.441399834864788,0.402708167577115,0.000623609475745474,0.0020794332682464
37,9,1704.56224746437,1702.02547577012,60.5565024897638,62.2863836831919,0.327891211241782,0.365991053725589,0.450610819777964,0.362090281686552,0.0014882247321958,0.0285663986905539
39,12,1711.53061649497,1718.97337331706,89.3772021308225,88.5064402404509,0.40851648650949,0.422281563380224,0.484464305738033,0.409906292650244,0.00434859695196571,0.00974255033288014
40,11,1713.29469971439,1717.74988928356,84.6683287834266,88.8713415012342,0.395580395831073,0.376373139603696,0.512528266104431,0.386386730814681,0.00260036383111026,0.049640907978218
43,13,1715.3085842084,1726.78941323347,105.413784503931,103.754394488863,0.503287500666733,0.391943982289024,0.496463531070344,0.390649542427161,0.00669315663126808,0.015741679542926
46,15,1716.98650959113,1758.75758812157,138.121253794823,154.309674112134,0.358246985400424,0.372454547488754,0.295075354156174,0.407129096333958,0.024328134377937,0.117204411866676
47,14,1717.01111002857,1747.28303019823,138.099130104145,136.514389757046,0.385583065077043,0.400657708180874,0.373293530132523,0.399547105440188,0.0176305907357558,0.0114753825451611
49,18,1721.46040024707,1812.99748852032,201.111442747745,233.895551413915,0.488529387133063,0.310583442610326,0.554109082846435,0.422608324256856,0.0531740888492799,0.163014636155197
50,16,1721.46858861472,1771.06160878326,201.108673772213,172.990935293973,0.447382780541414,0.408698901031322,0.276124950958129,0.408002805358986,0.0288085536364283,0.139813653736725
51,17,1721.47202706524,1798.1791018052,201.10209540238,212.830286090292,0.698698027837125,0.415788686000435,0.464597626716249,0.415708153646735,0.044559001560267,0.0583195847086743
53,10,1725.07841265393,1709.49951598476,78.1084688503509,75.0370170366398,0.412766623780268,0.382969175347531,0.48883600837049,0.381693289213891,0.00903083393479204,0.0393229038914546
