solution_index,comsol_tvb_root,comsol_MAC,matlab_no_loss_index,matlab_tvb_index,matlab_MAC,comsol_no_loss_real_Hz,comsol_no_loss_imag_Hz,comsol_tvb_real_Hz,comsol_tvb_imag_Hz,matlab_no_loss_real_Hz,matlab_no_loss_imag_Hz,matlab_tvb_real_Hz,matlab_tvb_imag_Hz,comsol_loss_increment_Hz,matlab_loss_increment_Hz,no_loss_real_relative_error,tvb_real_relative_error,tvb_imag_absolute_error_Hz,loss_increment_absolute_error_Hz,loss_increment_relative_error,meaningful_loss,loss_within_10pct
1,45,0.973925962329615,28,28,0.999786171962321,1238.54643052215,124.29194224482,1289.5785994789,80.5365435648202,1213.78456085531,57.5428183048154,1214.04042963019,57.9022402616704,-43.7553986799998,0.359421956855044,0.0199926858264022,0.0585758556161189,22.6343033031498,44.1148206368548,1.00821434537675,1,0
2,46,0.960639353308922,29,29,0.999939013832345,1245.52334629688,124.18981111741,1296.870331241,80.8175650829315,1214.65375851052,66.1705165975758,1214.78468881234,66.3617041514771,-43.3722460344785,0.191187553901372,0.0247844312819533,0.0632951810610918,14.4558609314544,43.5634335883799,1.00440806209919,1,0
3,44,0.887278881223699,30,30,0.999989834339005,1258.2216515788,137.900502172882,1271.43048819398,129.984845508052,1232.13955452167,26.9783109337325,1231.62089629724,27.6842155144823,-7.91565666483001,0.705904580749714,0.0207293341553946,0.0313108677716928,102.30062999357,8.62156124557972,1.08917827170121,1,0
4,47,0.98784061602289,31,31,0.999991251941775,1319.23669713957,122.076298404301,1364.63577238292,99.2059460723119,1312.28606636425,41.0692323925546,1311.44087725689,42.0341731525949,-22.8703523319891,0.964940760040214,0.00526867603849425,0.0389810205789503,57.171772919717,23.8352930920293,1.04219177501216,1,0
5,48,0.987416687831441,32,32,0.999996098813438,1319.3022474289,120.865759704282,1364.73477528606,98.4891608859785,1317.58881124045,33.6926370992893,1316.90569266254,34.2097175345535,-22.3765988183035,0.517080435264241,0.00129874423528622,0.0350464306249468,64.279443351425,22.8936792535677,1.02310808892195,1,0
6,49,0.995764860507262,38,38,0.999970517852828,1390.59973290855,129.839115518904,1401.73166057196,120.755343772282,1386.86833296419,46.4085663555006,1386.00948120648,47.1772733888647,-9.08377174662201,0.768707033364109,0.00268330264709077,0.0112162547281424,73.5780703834173,9.85247877998612,1.08462421280565,1,0
7,50,0.993769035379372,39,39,0.999974361372593,1408.28677957762,118.472807197112,1441.63110540862,108.329487196854,1393.99220560374,51.6480416569247,1393.25647798315,52.4830871023985,-10.143320000258,0.83504544547381,0.0101503288827083,0.0335554825669207,55.8464000944555,10.9783654457318,1.08232466741191,1,0
8,51,0.99318960496955,40,40,0.999991966464716,1414.22200447403,116.628346339711,1446.59805717147,106.623497872612,1398.4643510565,42.5931664737638,1397.80455236436,43.2536923086964,-10.004848467099,0.660525834932599,0.0111422770736722,0.0337298287974457,63.3698055639156,10.6653743020316,1.06602057363535,1,0
9,52,0.997177814231037,41,41,0.999958272825119,1504.03238823443,114.384484738556,1526.10413734451,107.257954954004,1502.87176861015,4.47545735077833,1501.54610277671,5.79815105913007,-7.12652978455199,1.32269370835174,0.000771671962226469,0.0160919782384792,101.459803894874,8.44922349290373,1.18560137238448,1,0
10,53,0.996851683200845,42,42,0.99996942595109,1504.29622384693,114.567569368849,1526.33843820155,107.483065009123,1512.6041993709,42.6776050267307,1511.85663437643,43.309199160303,-7.08450435972601,0.631594133572285,0.00552283213390027,0.0094879375783688,64.17386584882,7.7160984932983,1.0891514919749,1,0
