Quantity,RMSE,RelativeRMSE,MaxAbsError,MeanAbsError,Correlation,PeakFrequencyShift_Hz
Ez1,0.00119339523594926,0.791336716079533,0.00173782013869652,0.00108135484398698,-0.221375650546739,12
Ez0,0.000335853726201183,0.915183169757337,0.000417648533297092,0.000318451920056088,-0.738731746696237,-40
Ez_1,0.00213180250657525,4.94223619554716,0.00352676263502564,0.00171497374904343,0.178445159828658,-12
Ef1,0.00128732136175803,1.51483107622961,0.0026296099454252,0.000979896113448205,0.485750914475922,8
Ef0,5.55275163606141e-05,0.924760490787683,9.64614225631698e-05,4.41890569259917e-05,-0.95119846280706,-34
Ef_1,0.00103457861052536,4.08742410543849,0.00197353172309522,0.00082553289725423,-0.740228048616041,13
Forward,0.399921872433457,0.56070196601229,0.559256430299913,0.375803016475248,0.518550110472636,5
Backward,0.22659937369296,0.299696304163947,0.358178114916573,0.190979809874539,-0.0990020565168632,21
F1,11.9339523594926,0.791336716079534,17.3782013869652,10.8135484398698,-0.221375650546739,12
B1,12.8732136175803,1.51483107622961,26.296099454252,9.79896113448205,0.485750914475922,8
