comsol_index,theory_index,pml_fraction,comsol_real_Hz,theory_real_Hz,real_error_Hz,comsol_imag_Hz,theory_imag_Hz,imag_error_Hz,comsol_Q,theory_Q,comsol_Forward,theory_Forward,Forward_error,comsol_Backward,theory_Backward,Backward_error,pair_cost,pair_ambiguity,pair_quality
1,44,0.104458044257901,1256.43837528062,1238.54643052222,-17.8919447584001,123.027638348519,124.291942244826,1.264303896307,5.10632566855146,4.98240838526192,0.46032963649263,0.500111776606337,0.039782140113707,0.54377373525578,0.500029524428458,-0.0437442108273219,1.53430953693434,0.324664660715436,low
2,45,0.0953808976958482,1308.98491253689,1245.52334629692,-63.4615662399701,134.12501806633,124.189811117432,-9.935206948898,4.8797194267275,5.01459554165506,0.471295086806733,0.482664353106758,0.011369266300025,0.535817603769146,0.476914316654994,-0.058903287114152,5.335275847382,0.00697739678734555,ambiguous
3,46,0.0929930919829458,1310.22044607279,1258.2216515788,-51.9987944939901,131.524851013598,137.900502172875,6.375651159277,4.98088549797076,4.56206334187773,0.457226515774251,0.0558901453562974,-0.401336370417954,0.52889036221816,0.0181648189535195,-0.51072554326464,4.79644580825254,0.00697739678734544,ambiguous
4,47,0.0801959949403215,1319.37427972494,1319.23669713957,-0.137582585369955,117.864168048509,122.076298404306,4.212130355797,5.59701180422339,5.40332855101145,0.463753163028643,0.50199675372722,0.038243590698577,0.518363877856156,0.498019035017528,-0.020344842838628,0.0460856758240015,0.00697107500399645,ambiguous
5,48,0.02663992725398,1331.93625294502,1319.30224742893,-12.6340055160899,94.6806025386571,120.865759704305,26.1851571656479,7.03383912455146,5.45771710142132,2.20556748340982e-07,0.501551605358403,0.501551384801655,2.64323439412716e-08,0.497567564865362,0.497567538433018,1.58942130170895,0.00742254515616247,ambiguous
6,49,0.0357670754065612,1403.14659536679,1390.59973290855,-12.54686245824,130.385501787558,129.83911551891,-0.546386268648007,5.38076157291239,5.35508782292195,1.1371172758508e-08,0.00278818673890247,0.00278817536772971,6.56627279402441e-09,0.00224381490224222,0.00224380833596943,1.04872495327882,0.105837038657283,ambiguous
7,50,0.0587444175770813,1425.23785969866,1408.28677957762,-16.9510801210399,113.080690056145,118.472807197118,5.392117140973,6.3018622321416,5.9435021963921,0.491708534337651,0.500052004975995,0.00834347063834401,0.533256402674332,0.499957531134704,-0.0332988715396281,1.44047649950442,0.499012713395688,moderate
8,51,0.00186408986642442,1479.18182971742,1414.22200447406,-64.95982524336,4.27605472084719,116.628346339722,112.352291618875,172.961050113077,6.06294288163287,0.989618692273398,0.494866901549123,-0.494751790724275,0.993294108429061,0.498833636067129,-0.494460472361932,6.40212989211483,0.0225419980150936,ambiguous
9,52,0.0514139765189747,1504.90641280208,1504.03238823443,-0.87402456764994,114.668690543904,114.384484738564,-0.284205805340008,6.56197609680513,6.57445977779255,0.400153299953008,0.491796830051861,0.091643530098853,0.406374477280652,0.508304199199251,0.101929721918599,0.169998391565004,0.022541998015094,ambiguous
10,53,0.0536086180716204,1505.81253190047,1504.29622384695,-1.51630805352011,119.410874468494,114.567569368858,-4.843305099636,6.30517337136564,6.5651049076714,0.40014080671742,0.491174813265746,0.0910340065483261,0.430007597796744,0.508299967954239,0.078292370157495,0.217302531025422,0.022541998015094,ambiguous
11,54,0.054784701748745,1510.22146268127,1527.12882519542,16.90736251415,122.685649533979,119.767052294723,-2.918597239256,6.15484153369949,6.37541292006362,0.508179613247785,0.0012744521524849,-0.5069051610953,0.516653097750277,0.000697338239461649,-0.515955759510815,1.92402954595221,0.0219157499839671,ambiguous
12,55,0.0261423927475097,1548.16512362716,1606.42688562248,58.2617619953201,103.698075787909,109.615485539061,5.91740975115199,7.46477266749669,7.32755448613163,1.07113590607575e-08,0.501167359714277,0.501167349002918,2.35452185057748e-08,0.49868588893216,0.498685865386941,5.36348912888101,2.39473616195205,low
13,56,0.0394006453527883,1618.27619685483,1609.9906562647,-8.28554059013004,103.977750787484,108.059878579247,4.082127791763,7.78183882897394,7.44953019304009,0.492779196426187,0.501114873348252,0.00833567692206499,0.512659359028176,0.497459774401618,-0.0151995846265581,0.708068992697561,0.29856169641112,moderate
14,57,0.00189062718740114,1662.80230949227,1656.91598666034,-5.8863228319301,0.990594723316899,0.237339268663547,-0.753255454653352,839.294956026294,3490.60649758971,1.25212437920425e-08,0.498546077675748,0.498546065154504,4.07355409273469e-07,0.498567235742133,0.498566828386724,1.13111283227048,0.171509030595488,moderate
15,58,0.00179411232260217,1665.99268954057,1664.01070650559,-1.98198303497998,0.497018554751826,112.035063765932,111.53804521118,1675.98641299463,7.42629428043219,1.27250209383772e-06,0.000204236060849065,0.000202963558755227,1.54404392058015e-06,0.00137342982769598,0.0013718857837754,0.927899387876342,0.00304323781239257,ambiguous
16,59,3.7840167851684e-05,1667.07548297936,1668.82841165628,1.75292867691996,0.1114468280868,0.304283140041498,0.192836311954698,7479.24149838055,2742.22950937847,0.336992016149355,0.363620752815597,0.026628736666242,0.516206679460746,0.403124866988594,-0.113081812472152,0.28092320205626,0.0691490972242018,ambiguous
17,60,0.000335002035610094,1667.45530344692,1668.89927281397,1.44396936704993,0.987196591211235,0.707542050419854,-0.279654540791381,844.540650915866,1179.36401930009,0.115695632932044,0.458834348476201,0.343138715544157,0.877973971475163,0.539991826746167,-0.337982144728996,0.499839511604412,0.215372552779488,high
18,61,0.829458234143763,1668.65277324633,1668.90270021129,0.249926964959968,0.719680522993558,0.639926085910999,-0.079754437082559,1159.30105090622,1303.98083228271,2.85521729216783e-05,0.131609065542615,0.131580513369693,8.69175500422163e-05,0.66634562478324,0.666258707233198,0.432793014724647,0.0501725458281673,ambiguous
19,62,0.824349211675402,1668.65393137292,1668.90474515992,0.25081378699997,0.721486343704357,0.574902314886799,-0.146584028817558,1156.40021875223,1451.46810331468,4.42438958662246e-05,0.437014713720336,0.43697046982447,0.000164201169929492,0.560600877247703,0.560436676077773,0.544466684064228,0.0501725458281674,ambiguous
20,63,0.808599621306404,1668.65507230657,1670.87460416957,2.21953186299993,0.675065919695458,3.38506414492781,2.70999822523235,1235.92009581772,246.801025421218,6.14635810895223e-07,0.371619577768793,0.371618963132982,1.22960634596708e-05,0.39360371858613,0.39359142252267,0.775584970522941,0.0501725458281674,ambiguous
21,64,0.783058338593712,1668.65815444543,1671.60381834227,2.94566389683996,0.646456493279185,5.75916009116796,5.11270359788877,1290.61906856335,145.12565998172,9.11559261131507e-06,0.332092081912161,0.33208296631955,5.4262457457607e-05,0.434100390247707,0.434046127790249,0.917736133410871,0.0501725458281674,ambiguous
22,65,0.424030400456663,1671.34564679514,1671.86242971785,0.516782922710036,6.36537299629035,6.02140032532569,-0.34397267096466,131.284187727033,138.826713006116,2.99080612981442e-06,0.495289350622062,0.495286359815932,6.30702600961648e-07,0.507421587253735,0.507420956551134,0.552535335929617,0.0936602620226406,ambiguous
23,66,0.416671506432247,1671.36918332475,1671.98267662229,0.61349329753989,6.33107358450178,4.97592214382137,-1.35515144068041,131.997295641627,168.007318874392,2.22747921651935e-06,0.496077610417735,0.496075382938518,7.82579944361932e-08,0.504083019893553,0.504082941635559,0.586250437768819,0.0975830169576498,ambiguous
24,67,0.385660402994992,1671.39594749049,1675.23810675505,3.84215926456,6.00115811217681,10.9691892954457,4.96803118326889,139.256116590154,76.3610719823478,2.67161799294153e-06,0.369646347172236,0.369643675554243,1.46334822801551e-05,0.393870940675509,0.393856307193229,0.790830277265817,0.102043711247634,ambiguous
25,68,0.339567819721904,1671.5419820552,1677.03261536071,5.49063330551007,5.65021207085068,16.0114300750935,10.3612180042428,147.918517136609,52.3698572674472,9.10331703883593e-07,0.350762865370333,0.350761955038629,5.55370946669098e-06,0.416684155519544,0.416678601810077,0.995374943874452,0.120820498578089,ambiguous
26,69,0.0255083496859625,1676.08603444147,1677.36598726932,1.27995282784991,106.595246990881,16.054265245309,-90.540981745572,7.86191730755525,52.2405093487366,2.54727552159847e-08,0.502105103630919,0.502105078158164,1.48020274092303e-08,0.505394136008429,0.505394121206402,0.896171226699783,0.0462330718452276,ambiguous
27,70,0.340990511230644,1676.74702818993,1678.17821138788,1.43118319795008,17.5806267662835,10.9166123056374,-6.6640144606461,47.6873506980317,76.8635069380112,2.12410870548978e-06,0.501721170697508,0.501719046588803,9.91197026281735e-08,0.500037335615616,0.500037236495913,0.691279217984544,0.147407228148918,ambiguous
28,71,0.33670526678446,1676.75248464041,1682.25871452866,5.50622988824989,17.4202542571584,23.2862730825622,5.8660188254038,48.1265215733401,36.1212528205815,1.22649713337982e-06,0.36110583623907,0.361104609741937,2.5445852345799e-07,0.40152197254157,0.401521718083047,0.883738868114964,0.147407228148918,ambiguous
29,72,0.320345369802488,1676.90307243655,1683.06984144478,6.16676900822995,16.5364163651731,21.7804140516054,5.2439976864323,50.7033396899778,38.6372324570368,2.87821033573377e-06,0.510667686330698,0.510664808120362,3.79525985755422e-06,0.496741711790385,0.496737916530527,1.05892141367936,0.147407228148918,ambiguous
30,73,0.287276120203001,1677.40415179825,1685.40740653037,8.00325473212001,15.1413596102825,31.2869217498303,16.1455621395478,55.3914640089228,26.9346952699096,4.5010636955341e-07,0.343444714611617,0.343444264505247,2.00692604693911e-07,0.418812449732269,0.418812249039664,1.15710596143054,0.0926449906005528,ambiguous
31,74,0.355266883615555,1684.95264395127,1685.7160524647,0.763408513430022,33.8578670597659,31.1713961833854,-2.6864708763805,24.8827346533228,27.0394698162927,8.70210572670315e-07,0.544384060281465,0.544383190070892,3.8453384441329e-07,0.455523453652826,0.455523069118982,0.576040684745439,0.145103506980823,ambiguous
32,75,0.357340992329365,1685.0395971757,1691.83914239458,6.79954521887998,34.1910416743284,39.4675740765084,5.27653240218,24.6415364180155,21.4332801290868,1.82461267001143e-06,0.508411247130111,0.508409422517441,3.54837026115169e-08,0.51495779775133,0.514957762267627,1.09997961320797,0.145103506980822,ambiguous
33,76,0.340658480078616,1685.29740685347,1692.06346886954,6.76606201607001,32.1072319117138,40.4572114052492,8.3499794935354,26.2448256437611,20.9117659138761,4.29399126926709e-06,0.341246654830312,0.341242360839043,1.81827977976075e-06,0.420869568716575,0.420867750436795,0.979788553828117,0.145103506980823,ambiguous
34,77,0.297698279144523,1686.4792544583,1696.45800580698,9.97875134868013,28.880735164896,51.4543029113562,22.5735677464602,29.1973047920917,16.4850936638825,6.07121745907395e-07,0.313959233287566,0.31395862616582,4.28760725189522e-08,0.44139983487661,0.441399792000537,1.29645315628031,0.0925468426095825,ambiguous
35,78,0.368221505688126,1695.52952330473,1696.70350865519,1.17398535046004,55.4622803876531,51.1986627615044,-4.2636176261487,15.2854292273401,16.5698029708201,6.87949847055359e-07,0.632392580921276,0.632391892971429,5.50048827319811e-07,0.369210644506662,0.369210094457835,0.610735001639146,0.144334057936947,ambiguous
36,79,0.36880001339971,1695.81530588029,1703.89519226423,8.07988638393999,55.8700757023366,60.2005535205046,4.330477818168,15.1764185439377,14.1518233024541,1.77157507841576e-06,0.429350690635854,0.429348919060776,1.81130085401362e-08,0.607942812559827,0.607942794446818,1.20326843386896,0.144334057936947,ambiguous
37,80,0.349550092240131,1696.12174008008,1704.56224746437,8.44050738429019,52.8142788433386,60.5565024897377,7.7422236463991,16.0574164527668,14.0741470971943,6.65463839732566e-06,0.327891211245517,0.32788455660712,1.46471690671789e-06,0.450610819765959,0.450609355049052,1.11332428636157,0.144334057936947,ambiguous
38,81,0.288496307649209,1699.69740668137,1711.31713327279,11.61972659142,47.7943517545619,89.4274304531031,41.6330786985412,17.781362695427,9.56818911491718,8.89440170277151e-07,0.333833566916819,0.333832677476649,1.35733995128264e-07,0.663371702985367,0.663371567251372,1.56177695789784,0.101910099326815,ambiguous
